# {"t_start": 1594066838.5810962, "env_id": "MountainCarSparse-v0"} 
r,l,t
0,999,2.257571
0,999,3.02049
0,999,4.87177
0,999,5.655857
0,999,7.507107
0,999,8.289743
0,999,10.127445
0,999,10.906466
0,999,12.749765
0,999,13.525667
0,999,15.382711
0,999,16.166506
0,999,18.020395
0,999,18.80584
0,999,20.66685
0,999,21.446931
0,999,23.296358
0,999,24.075732
0,999,25.93424
0,999,26.715532
0,999,28.574563
0,999,29.351084
0,999,31.213127
0,999,31.983092
0,999,33.84442
0,999,34.622858
0,999,36.486954
0,999,37.262675
0,999,39.128479
0,999,39.905029
1.0,789,41.611165
0,999,42.37187
0,999,43.145074
1.0,533,44.626162
1.0,931,45.341773
1.0,409,45.660603
1.0,310,46.989445
1.0,557,47.411583
1.0,222,47.583474
1.0,426,47.914127
1.0,383,48.211485
1.0,399,49.620474
1.0,526,50.019493
1.0,435,50.354778
1.0,501,50.740099
1.0,336,51.001482
1.0,358,52.380734
1.0,332,52.632212
1.0,301,52.866427
1.0,291,53.092142
1.0,374,53.382219
1.0,237,53.566339
1.0,367,54.95563
1.0,340,55.213395
1.0,277,55.426517
1.0,179,55.565027
1.0,356,55.840783
1.0,286,56.0614
1.0,347,56.329728
1.0,307,57.668658
1.0,295,57.890793
1.0,233,58.068856
1.0,239,58.253927
1.0,227,58.429713
1.0,256,58.62851
1.0,197,58.782218
1.0,232,58.960486
1.0,264,59.164122
1.0,205,60.426197
1.0,196,60.574805
1.0,253,60.771513
1.0,144,60.88432
1.0,183,61.027545
1.0,187,61.173378
1.0,180,61.314134
1.0,276,61.529496
1.0,242,61.715329
1.0,188,61.861528
1.0,238,63.155956
1.0,153,63.27159
1.0,335,63.530835
1.0,156,63.652088
1.0,187,63.797057
1.0,193,63.946829
1.0,235,64.128958
1.0,199,64.28277
1.0,200,64.435395
1.0,189,65.689136
1.0,209,65.847138
1.0,231,66.022459
1.0,248,66.213672
1.0,149,66.328213
1.0,216,66.494314
1.0,142,66.604406
1.0,153,66.722645
1.0,145,66.834377
1.0,233,67.012533
1.0,204,67.168277
1.0,223,68.450608
1.0,155,68.567791
1.0,230,68.743593
1.0,175,68.879595
1.0,159,69.002864
1.0,208,69.164383
1.0,260,69.365755
1.0,212,69.530222
1.0,236,69.711823
1.0,268,69.918418
1.0,178,71.160278
1.0,154,71.276053
1.0,183,71.414646
1.0,132,71.516166
1.0,147,71.629393
1.0,146,71.741802
1.0,150,71.857281
1.0,163,71.982782
1.0,227,72.157336
1.0,166,72.285129
1.0,144,72.394738
1.0,170,72.523668
1.0,146,73.745572
1.0,178,73.880668
1.0,183,74.018851
1.0,153,74.136981
1.0,151,74.253984
1.0,159,74.377133
1.0,149,74.492527
1.0,143,74.603508
1.0,217,74.771777
1.0,273,74.98341
1.0,216,75.147829
1.0,197,75.300444
1.0,210,76.564064
1.0,183,76.701534
1.0,213,76.864598
1.0,247,77.054724
1.0,179,77.192881
1.0,177,77.328713
1.0,182,77.468647
1.0,143,77.578638
1.0,153,77.696528
1.0,153,77.812967
1.0,140,77.919202
1.0,147,79.136229
1.0,209,79.294394
1.0,169,79.422356
1.0,197,79.575435
1.0,173,79.70934
1.0,142,79.819614
1.0,172,79.954889
1.0,144,80.066504
1.0,176,80.203306
1.0,152,80.320928
1.0,133,80.423647
1.0,146,80.534032
1.0,147,80.647268
1.0,116,81.849754
1.0,149,81.963277
1.0,81,82.024406
1.0,146,82.135169
1.0,125,82.232524
1.0,149,82.348795
1.0,158,82.472115
1.0,179,82.612128
1.0,150,82.729093
1.0,194,82.881031
1.0,150,82.998065
1.0,115,83.087773
1.0,134,83.189747
1.0,141,83.296979
1.0,158,84.535393
1.0,92,84.604852
1.0,147,84.715128
1.0,148,84.827275
1.0,79,84.887882
1.0,149,85.002682
1.0,159,85.125008
1.0,166,85.25251
1.0,246,85.441692
1.0,145,85.553226
1.0,128,85.652041
1.0,146,85.764043
1.0,148,85.875655
1.0,159,85.995279
1.0,182,87.248042
1.0,144,87.356169
1.0,142,87.463031
1.0,145,87.574835
1.0,133,87.67795
1.0,152,87.794975
1.0,179,87.932735
1.0,120,88.024966
1.0,90,88.09394
1.0,185,88.237213
1.0,145,88.348525
1.0,154,88.466355
1.0,145,88.575356
1.0,157,88.693101
1.0,83,89.867641
1.0,157,89.985843
1.0,124,90.079368
1.0,150,90.193998
1.0,142,90.303218
1.0,156,90.423301
1.0,117,90.513111
1.0,93,90.584652
1.0,155,90.704533
1.0,177,90.841344
1.0,156,90.961496
1.0,152,91.079008
1.0,154,91.195591
1.0,141,91.301638
1.0,144,92.520272
1.0,147,92.632212
1.0,166,92.757942
1.0,111,92.843534
1.0,81,92.906469
1.0,161,93.032884
1.0,146,93.146839
1.0,145,93.259901
1.0,139,93.368242
1.0,149,93.484688
1.0,141,93.594756
1.0,112,93.682628
1.0,130,93.78415
1.0,143,93.892812
1.0,149,94.005241
1.0,142,95.223436
1.0,146,95.333236
1.0,113,95.418124
1.0,85,95.481921
1.0,147,95.595387
1.0,78,95.655244
