# {"t_start": 1594067341.61358, "env_id": "MountainCarSparse-v0"} 
r,l,t
0,999,2.333224
0,999,3.153951
0,999,8.11819
0,999,8.975009
0,999,23.430785
0,999,24.294155
0,999,38.681174
0,999,39.520826
1.0,856,53.771333
1.0,902,54.526855
0,999,68.965073
1.0,573,69.457056
0,999,83.839764
1.0,652,84.385286
1.0,644,84.933531
1.0,835,99.178478
1.0,531,99.62865
1.0,425,99.985213
1.0,248,100.19155
1.0,602,100.698309
1.0,452,114.623291
1.0,355,114.922623
1.0,512,115.355128
1.0,482,115.767503
1.0,419,129.668587
1.0,288,129.912851
1.0,288,130.1546
1.0,312,130.416525
1.0,520,130.856915
1.0,233,131.054099
1.0,379,144.898197
1.0,470,145.298775
1.0,296,145.553186
1.0,279,145.793799
1.0,256,146.009625
1.0,301,146.263446
1.0,272,146.490902
1.0,241,160.283626
1.0,249,160.491687
1.0,267,160.716393
1.0,246,160.924619
1.0,214,161.105888
1.0,172,161.25158
1.0,230,161.446592
1.0,204,161.618355
1.0,241,161.820688
1.0,283,175.587571
1.0,213,175.765603
1.0,204,175.936051
1.0,213,176.11381
1.0,169,176.255671
1.0,241,176.457811
1.0,210,176.631992
1.0,242,176.832571
1.0,189,176.996392
1.0,244,190.775096
1.0,220,190.964707
1.0,146,191.090307
1.0,149,191.218297
1.0,401,191.561555
1.0,229,191.754274
1.0,176,191.902804
1.0,282,192.141331
1.0,207,192.317591
1.0,193,192.482653
1.0,238,206.223328
1.0,208,206.397868
1.0,239,206.598151
1.0,208,206.770922
1.0,152,206.903152
1.0,169,207.04976
1.0,206,207.224269
1.0,168,207.367245
1.0,323,207.640995
1.0,246,221.464856
1.0,205,221.636933
1.0,190,221.795966
1.0,142,221.914707
1.0,161,222.048635
1.0,208,222.224886
1.0,180,222.380322
1.0,273,222.611312
1.0,183,222.765304
1.0,197,222.931064
1.0,197,223.09715
1.0,225,236.837416
1.0,177,237.004969
1.0,213,237.18645
1.0,175,237.335177
1.0,196,237.501173
1.0,205,237.67443
1.0,176,237.823699
1.0,108,237.915312
1.0,196,238.080888
1.0,158,238.213291
1.0,228,238.404841
1.0,151,252.21046
1.0,230,252.406717
1.0,234,252.606639
1.0,178,252.760604
1.0,168,252.908449
1.0,223,253.098716
1.0,232,253.294025
1.0,139,253.411709
1.0,192,253.574358
1.0,169,253.717818
1.0,209,267.56432
1.0,175,267.713193
1.0,179,267.863966
1.0,142,267.985081
1.0,168,268.125862
1.0,313,268.386452
1.0,218,268.569721
1.0,221,268.756108
1.0,180,268.908211
1.0,152,269.035569
1.0,249,282.824531
1.0,170,282.971024
1.0,141,283.090059
1.0,139,283.207811
1.0,312,283.470599
1.0,272,283.700167
1.0,222,283.887898
1.0,191,284.048941
1.0,294,284.299217
1.0,140,284.417344
1.0,179,298.306979
1.0,147,298.432016
1.0,177,298.580422
1.0,179,298.728933
1.0,182,298.882282
1.0,174,299.028544
1.0,243,299.234716
1.0,174,299.387067
1.0,170,299.532371
1.0,233,299.730529
1.0,168,299.872708
1.0,184,313.909556
1.0,168,314.050175
1.0,246,314.254381
1.0,141,314.372173
1.0,158,314.505248
1.0,209,314.680688
1.0,201,314.849609
1.0,163,314.987825
1.0,115,315.084437
1.0,212,315.262855
1.0,143,315.382513
1.0,138,315.497577
1.0,149,315.621108
1.0,176,329.403474
1.0,113,329.498762
1.0,192,329.658254
1.0,195,329.822124
1.0,242,330.02808
1.0,216,330.211576
1.0,193,330.375143
1.0,141,330.494901
1.0,152,330.623604
1.0,173,330.770124
1.0,108,330.860604
1.0,140,330.978308
1.0,184,344.794635
1.0,141,344.912035
1.0,111,345.00634
1.0,174,345.153872
1.0,180,345.306246
1.0,140,345.424916
1.0,162,345.562297
1.0,163,345.70038
1.0,170,345.845444
1.0,111,345.939412
1.0,139,346.055265
1.0,155,346.184717
1.0,142,346.305486
1.0,191,361.178298
1.0,213,361.365801
1.0,142,361.491699
1.0,112,361.587401
1.0,197,361.756382
1.0,170,361.902258
1.0,164,362.040796
1.0,177,362.190212
1.0,106,362.279268
1.0,113,362.374774
1.0,191,362.536675
1.0,165,362.674599
1.0,114,362.770404
1.0,141,376.899054
1.0,149,377.029126
1.0,136,377.145088
1.0,108,377.237256
1.0,146,377.362231
1.0,115,377.460664
1.0,115,377.561272
1.0,173,377.712
1.0,114,377.810067
1.0,112,377.905433
1.0,148,378.033189
1.0,148,378.158674
1.0,105,378.245588
1.0,146,378.374283
1.0,140,378.493628
1.0,153,392.475199
1.0,111,392.569041
1.0,161,392.703849
1.0,143,392.823497
1.0,123,392.925976
1.0,106,393.014419
1.0,133,393.12712
1.0,117,393.224426
1.0,136,393.337214
1.0,191,393.495872
1.0,147,393.61774
1.0,136,393.73086
1.0,131,393.839965
1.0,182,393.990664
1.0,137,394.105029
1.0,148,410.40616
1.0,144,410.531234
1.0,102,410.617287
1.0,205,410.792285
1.0,198,410.969182
1.0,142,411.089647
1.0,144,411.213982
1.0,145,411.345963
1.0,108,411.441754
1.0,137,411.565472
1.0,112,411.660211
1.0,104,411.752084
1.0,107,411.857923
1.0,107,411.978624
1.0,145,412.164686
1.0,105,431.389975
1.0,141,431.527664
1.0,132,431.734445
1.0,146,431.958201
1.0,167,432.239604
1.0,121,432.442247
1.0,139,432.664806
1.0,144,432.902987
1.0,108,433.07823
1.0,171,433.234088
1.0,158,433.368347
1.0,108,433.460258
1.0,139,433.663818
1.0,154,433.816176
1.0,102,433.901391
1.0,142,456.408576
1.0,136,456.58653
1.0,106,456.681247
1.0,148,456.809172
1.0,123,457.030436
1.0,145,457.151043
1.0,115,457.326662
1.0,135,457.464863
1.0,145,457.66692
1.0,145,457.807113
1.0,106,457.958615
1.0,103,458.044522
1.0,99,458.127217
1.0,106,458.217075
1.0,153,458.345952
1.0,124,458.450375
1.0,136,480.701108
1.0,139,480.923966
1.0,145,481.089665
1.0,85,481.205974
1.0,80,481.32252
1.0,109,481.514704
1.0,85,481.637445
1.0,104,481.824205
1.0,111,481.988893
1.0,107,482.111268
1.0,79,482.188322
1.0,135,482.317098
1.0,103,482.414388
1.0,159,482.567861
1.0,156,482.717783
1.0,145,482.890709
1.0,104,482.991131
1.0,143,483.129656
1.0,107,506.876944
1.0,110,507.045595
1.0,82,507.182347
1.0,100,507.361699
1.0,107,507.538375
1.0,113,507.73605
1.0,103,507.928497
1.0,104,508.033839
1.0,145,508.159071
1.0,71,508.280085
1.0,145,508.43708
1.0,105,508.523113
1.0,85,508.628799
1.0,104,508.799572
