# {"t_start": 1593266791.167516, "env_id": "InvertedDoublePendulum-v2"} 
r,l,t
63.676108,7,1.32178
36.126131,4,1.325637
35.450739,4,1.329389
36.241098,4,1.333292
54.504002,6,1.33868
36.072966,4,1.342403
44.68013,5,1.347
44.829094,5,1.35153
36.030998,4,1.355165
35.517917,4,1.358846
44.892051,5,1.363344
54.607993,6,1.368684
63.499154,7,1.374857
44.562623,5,1.379337
36.148639,4,1.38301
54.062165,6,1.388354
35.361243,4,1.392006
44.778604,5,1.396522
36.014822,4,1.400194
26.915387,3,1.403035
36.145299,4,1.406671
54.853172,6,1.411996
26.845467,3,1.414873
63.826864,7,1.421014
80.870805,9,1.428921
36.109892,4,1.432553
35.276473,4,1.436226
26.941143,3,1.439046
54.155557,6,1.444389
35.583128,4,1.447985
36.02635,4,1.451631
36.074863,4,1.455341
35.926081,4,1.458974
44.865915,5,1.463482
54.547786,6,1.469418
35.606552,4,1.473267
35.675937,4,1.477128
26.797205,3,1.479926
54.616074,6,1.485291
35.61215,4,1.489099
36.133784,4,1.492793
36.004846,4,1.4965
35.951735,4,1.500153
54.362868,6,1.505495
54.726053,6,1.510846
35.979478,4,1.514508
44.887063,5,1.519148
26.916581,3,1.521968
54.821249,6,1.527328
35.996095,4,1.530958
35.814227,4,1.534746
45.200143,5,1.539293
35.887544,4,1.542947
82.711517,9,1.550939
35.655099,4,1.554662
45.430338,5,1.55917
44.936515,5,1.563603
63.491472,7,1.569856
45.224764,5,1.574335
35.656188,4,1.577986
45.056703,5,1.582488
26.876269,3,1.585338
45.046442,5,1.589808
35.497239,4,1.593462
35.685476,4,1.59714
54.202519,6,1.602464
35.294385,4,1.60616
26.814101,3,1.60894
36.081934,4,1.612631
45.29284,5,1.61713
36.262666,4,1.620775
45.486892,5,1.625264
45.17236,5,1.62975
45.067143,5,1.634339
45.371605,5,1.638858
45.385439,5,1.643335
26.700684,3,1.646168
35.465844,4,1.649841
73.139995,8,1.656848
45.045476,5,1.661345
36.02162,4,1.665018
36.215839,4,1.668689
35.332182,4,1.672308
35.370853,4,1.675948
35.237028,4,1.679615
36.184852,4,1.683292
82.470919,9,1.691103
36.031738,4,1.694769
54.903324,6,1.700105
26.992241,3,1.702909
54.164278,6,1.708226
45.345595,5,1.712725
54.756337,6,1.718055
35.930803,4,1.721851
45.132079,5,1.72635
26.664255,3,1.729151
45.110822,5,1.733667
26.96216,3,1.736584
45.435158,5,1.741178
45.382956,5,1.745655
35.718003,4,1.74934
36.088506,4,1.753001
63.632685,7,1.759135
36.051388,4,1.762836
35.729712,4,1.76653
35.217796,4,1.770141
45.412609,5,1.774658
26.648359,3,1.77752
35.26624,4,1.781151
35.238085,4,1.784848
45.225348,5,1.789374
26.85468,3,1.792181
73.462428,8,1.799219
35.43418,4,1.802901
26.841331,3,1.80571
36.016235,4,1.809365
54.334597,6,1.814726
36.014187,4,1.818376
54.347897,6,1.82369
35.772413,4,1.827358
45.102586,5,1.831853
54.768026,6,1.837148
36.05253,4,1.840799
45.542422,5,1.845246
45.446217,5,1.849666
36.009068,4,1.8533
26.82643,3,1.85626
72.920048,8,1.8632
54.970863,6,1.868469
54.159511,6,1.87372
63.679707,7,1.879819
63.506478,7,1.885944
35.772204,4,1.889538
36.169522,4,1.893179
36.006731,4,1.896799
26.898422,3,1.89956
63.857838,7,1.905646
26.846354,3,1.908475
36.177496,4,1.912064
54.586609,6,1.917327
44.63353,5,1.921872
63.705316,7,1.927975
45.127061,5,1.932434
26.699642,3,1.935252
35.802264,4,1.939225
36.112202,4,1.943065
54.362431,6,1.948749
44.760194,5,1.953532
44.636941,5,1.958157
35.681261,4,1.961836
54.337944,6,1.967111
36.240414,4,1.970777
54.371114,6,1.976059
35.792863,4,1.979695
36.141279,4,1.983297
44.751129,5,1.987789
26.866949,3,1.990724
26.843097,3,1.993543
35.726801,4,1.997178
81.881415,9,2.005269
54.746319,6,2.010601
36.13107,4,2.01425
45.390425,5,2.018736
45.364883,5,2.023213
36.1212,4,2.026825
26.89145,3,2.029631
44.718497,5,2.03407
64.002056,7,2.040225
45.186745,5,2.044886
44.712723,5,2.04937
45.206705,5,2.053831
45.222907,5,2.058265
35.20783,4,2.061921
36.042556,4,2.065739
26.73814,3,2.068889
36.118095,4,2.072558
36.209196,4,2.076218
26.967148,3,2.079016
26.803282,3,2.081854
26.885353,3,2.084687
35.520932,4,2.088444
45.303419,5,2.092925
45.587263,5,2.097424
35.787843,4,2.101068
54.266907,6,2.106333
36.132626,4,2.109971
35.581292,4,2.113575
45.223826,5,2.118084
35.830018,4,2.121788
73.273798,8,2.128771
45.375106,5,2.133256
63.456508,7,2.139326
35.637488,4,2.142965
45.256528,5,2.147416
64.12924,7,2.153525
54.959289,6,2.158825
36.029744,4,2.162427
45.614903,5,2.16692
26.724476,3,2.169725
64.040663,7,2.175801
36.049062,4,2.179485
35.806728,4,2.1831
35.405134,4,2.186739
45.154535,5,2.191171
26.728969,3,2.193988
35.858504,4,2.197641
45.612949,5,2.202089
44.797579,5,2.206502
45.265628,5,2.211004
26.811073,3,2.213785
35.477732,4,2.217409
54.19512,6,2.222673
36.131179,4,2.226328
26.822458,3,2.22911
35.849849,4,2.232762
36.149323,4,2.236365
44.956346,5,2.240905
36.257727,4,2.244612
44.828165,5,2.249082
35.275509,4,2.252698
26.78114,3,2.255466
35.493125,4,2.259138
73.108646,8,2.266081
26.880928,3,2.268884
54.209987,6,2.274154
36.094798,4,2.277796
35.456413,4,2.281415
35.830871,4,2.285065
35.555346,4,2.288685
45.136832,5,2.293142
35.607443,4,2.296757
35.496994,4,2.300369
54.065471,6,2.305618
35.519023,4,2.309286
45.022433,5,2.313715
54.620963,6,2.319193
35.137652,4,2.322851
36.103047,4,2.3265
64.077812,7,2.332591
35.954071,4,2.336217
44.789549,5,2.340699
35.694762,4,2.344319
45.330129,5,2.348819
35.875374,4,2.352448
35.650563,4,2.35606
44.884863,5,2.36054
36.005288,4,2.36415
45.023976,5,2.368581
44.823576,5,2.373072
45.528487,5,2.377506
36.071791,4,2.38113
72.678,8,2.388085
36.140018,4,2.391714
35.522928,4,2.395337
45.347157,5,2.399799
26.900979,3,2.402588
36.07793,4,2.406255
35.643599,4,2.409854
45.206171,5,2.414308
54.452585,6,2.419617
45.261399,5,2.424073
45.400009,5,2.428602
110.302285,12,2.438847
26.969296,3,2.441642
35.380131,4,2.44526
54.725895,6,2.450526
45.142058,5,2.455013
45.034337,5,2.459441
35.941719,4,2.463061
35.562428,4,2.466695
36.17952,4,2.470342
54.623601,6,2.475593
35.994534,4,2.479245
35.848358,4,2.482848
35.792262,4,2.486499
35.671267,4,2.490098
26.83175,3,2.493008
44.735638,5,2.497458
36.116126,4,2.501112
26.964868,3,2.503902
26.880005,3,2.506685
45.382557,5,2.511126
36.112468,4,2.514737
45.107106,5,2.519409
45.391007,5,2.523848
45.212104,5,2.528318
44.914515,5,2.532795
36.336376,4,2.5364
44.664221,5,2.54087
45.358233,5,2.545383
26.747655,3,2.548221
45.09391,5,2.552677
36.012879,4,2.556302
26.872117,3,2.559083
35.313472,4,2.562688
45.131792,5,2.567177
44.795248,5,2.571603
54.693057,6,2.5769
44.913556,5,2.581377
45.180779,5,2.585804
45.323915,5,2.590268
44.783176,5,2.59469
54.285166,6,2.600079
35.557304,4,2.603743
54.143699,6,2.609052
35.535694,4,2.612727
36.298165,4,2.616353
36.097597,4,2.619956
35.711938,4,2.623598
26.845084,3,2.626394
54.160965,6,2.631705
54.483259,6,2.636981
100.7014,11,2.646402
63.746862,7,2.652529
36.13267,4,2.656133
63.745368,7,2.662271
45.134918,5,2.66675
26.841194,3,2.669989
35.115532,4,2.673731
54.650338,6,2.679044
45.258221,5,2.683649
45.296726,5,2.688137
44.88198,5,2.692601
36.017238,4,2.696253
71.469235,8,2.70317
36.139506,4,2.706798
35.760941,4,2.71045
26.8752,3,2.713255
35.729111,4,2.716859
45.588374,5,2.721425
35.643426,4,2.725025
45.349906,5,2.729492
35.548481,4,2.733129
26.85951,3,2.735897
35.217116,4,2.739536
35.216209,4,2.743253
26.804694,3,2.746083
63.757362,7,2.752185
36.190668,4,2.755774
44.933636,5,2.760279
63.91219,7,2.766365
26.816214,3,2.769196
35.815871,4,2.772816
45.367009,5,2.777266
35.758693,4,2.780903
45.319283,5,2.785325
35.547429,4,2.788959
54.491944,6,2.794248
45.235323,5,2.798696
35.705692,4,2.802293
36.095352,4,2.806207
45.164007,5,2.81079
26.867483,3,2.813597
26.832828,3,2.816395
45.243363,5,2.820846
26.810835,3,2.823668
36.063443,4,2.82728
63.488601,7,2.833464
26.662002,3,2.836267
45.259335,5,2.840717
44.960156,5,2.845182
64.090202,7,2.851268
26.898398,3,2.854088
45.515845,5,2.858693
54.817467,6,2.863966
54.739944,6,2.869271
73.288789,8,2.876229
82.236579,9,2.883968
35.239757,4,2.887606
35.446869,4,2.891227
54.161555,6,2.896503
35.506703,4,2.900209
72.749095,8,2.907134
35.826653,4,2.910784
35.82583,4,2.914412
35.899652,4,2.918039
35.967503,4,2.921806
63.515456,7,2.927927
35.848979,4,2.931576
35.46479,4,2.935269
26.830617,3,2.938366
35.372697,4,2.942369
44.872406,5,2.947252
45.543963,5,2.952078
35.583053,4,2.956025
44.966844,5,2.960642
35.623462,4,2.964359
35.990222,4,2.968014
54.258833,6,2.973337
63.503767,7,2.979452
35.899972,4,2.983112
35.575555,4,2.986762
45.365809,5,2.991215
73.317901,8,2.998275
45.708349,5,3.00273
45.472675,5,3.007188
45.0815,5,3.011685
54.415802,6,3.017032
44.758334,5,3.021516
26.733619,3,3.024368
36.204426,4,3.027977
54.235515,6,3.033319
35.794798,4,3.036956
36.153451,4,3.040565
35.914003,4,3.04419
44.965889,5,3.048656
54.430625,6,3.053937
35.83416,4,3.057565
45.281016,5,3.062032
54.397666,6,3.0673
36.345482,4,3.070928
64.03607,7,3.077046
44.91745,5,3.0815
35.549688,4,3.08516
44.902247,5,3.089606
26.864461,3,3.092408
36.049218,4,3.096033
35.470414,4,3.099642
35.103038,4,3.103274
35.41985,4,3.106899
45.246227,5,3.111337
26.797282,3,3.114141
45.314623,5,3.118722
35.789787,4,3.122362
36.180004,4,3.125991
45.311248,5,3.130449
26.836506,3,3.133247
45.468516,5,3.137665
35.999561,4,3.14131
35.693012,4,3.144928
35.26942,4,3.148566
45.481656,5,3.153032
44.94221,5,3.15751
45.290425,5,3.161978
36.236942,4,3.165655
26.673343,3,4.232622
54.654954,6,4.238063
64.262757,7,4.244687
63.68737,7,4.251239
45.697536,5,4.255893
36.200477,4,4.259776
26.794181,3,4.262843
44.996214,5,4.267693
81.997506,9,4.275698
54.457106,6,4.281039
35.257904,4,4.284695
35.950841,4,4.288424
26.887169,3,4.2913
26.920694,3,4.294152
36.057478,4,4.297986
91.386268,10,4.306656
45.394711,5,4.311141
63.872934,7,4.317292
34.933601,4,4.321055
35.760462,4,4.324712
72.904791,8,4.331684
34.998481,4,4.335364
45.588417,5,4.339838
101.10396,11,4.349339
44.760228,5,4.353836
45.001618,5,4.35845
45.328446,5,4.362931
26.800662,3,4.365761
45.112837,5,4.370274
26.846699,3,4.373101
35.886205,4,4.376722
45.058679,5,4.381189
26.900842,3,4.384004
35.880875,4,4.387628
63.212124,7,4.393761
35.566444,4,4.397411
63.732763,7,4.403523
44.751862,5,4.407989
54.415657,6,4.413291
36.038495,4,4.416936
26.880679,3,4.419726
45.307429,5,4.424204
54.260403,6,4.429644
45.201249,5,4.434131
35.825477,4,4.437784
44.636181,5,4.442237
36.114277,4,4.445969
35.35104,4,4.449613
63.735169,7,4.455736
36.203022,4,4.459354
35.947095,4,4.463001
26.888474,3,4.465822
35.992219,4,4.469584
54.639837,6,4.474916
35.958666,4,4.478612
35.929841,4,4.482716
54.723341,6,4.488059
45.523455,5,4.492747
82.466243,9,4.500878
63.530234,7,4.507022
44.760763,5,4.511531
44.792171,5,4.515993
72.925412,8,4.523066
72.803741,8,4.530052
26.867125,3,4.532882
54.796096,6,4.53818
36.13915,4,4.541833
36.251982,4,4.545545
45.250151,5,4.550031
63.644126,7,4.556373
36.075987,4,4.560024
35.519373,4,4.563704
26.775628,3,4.566519
81.880968,9,4.574317
35.362643,4,4.57796
45.290287,5,4.582436
54.60511,6,4.587877
64.050039,7,4.594065
100.586232,11,4.603517
35.639763,4,4.607167
35.642514,4,4.610816
63.791891,7,4.617125
35.817631,4,4.620785
35.776469,4,4.624437
35.369123,4,4.628059
54.954246,6,4.63337
36.133027,4,4.637027
44.913177,5,4.641506
63.805774,7,4.647634
63.89752,7,4.653774
45.410411,5,4.658251
36.084511,4,4.661993
92.06176,10,4.670737
36.084901,4,4.674391
26.869619,3,4.677206
45.110244,5,4.681659
45.201073,5,4.686136
36.122177,4,4.689774
35.290928,4,4.693415
36.143513,4,4.697036
35.825604,4,4.70068
45.165104,5,4.705149
54.113808,6,4.710449
