# {"t_start": 1594067767.6561806, "env_id": "MountainCarSparse-v0"} 
r,l,t
1.0,881,3.248291
1.0,401,3.575449
0,999,12.017282
1.0,969,13.482841
1.0,797,14.546199
1.0,572,36.947698
0,999,38.072598
1.0,658,59.78883
1.0,500,60.363351
1.0,614,61.140647
1.0,331,61.618759
1.0,604,86.242282
1.0,897,87.762454
1.0,828,89.188028
1.0,395,118.269928
1.0,323,118.842709
1.0,319,119.385979
1.0,371,120.019682
1.0,434,120.760872
1.0,305,121.268977
1.0,241,150.818686
1.0,341,151.467246
1.0,249,151.940773
1.0,339,152.644272
1.0,273,153.110462
1.0,241,153.609609
1.0,241,154.103824
1.0,239,189.094315
1.0,186,189.561998
1.0,244,190.104617
1.0,227,190.556223
1.0,200,190.966806
1.0,327,191.68123
1.0,224,192.11172
1.0,269,192.664222
1.0,156,193.065936
1.0,186,193.539572
1.0,288,229.768924
1.0,285,230.309764
1.0,247,230.767503
1.0,226,231.260975
1.0,270,231.786325
1.0,184,232.174
1.0,207,232.570967
1.0,159,232.893343
1.0,295,267.791716
1.0,152,268.056092
1.0,367,268.83647
1.0,213,269.281403
1.0,204,269.690671
1.0,270,270.284761
1.0,358,271.025636
1.0,313,271.612088
1.0,411,307.430142
1.0,270,307.982315
1.0,224,308.377594
1.0,250,308.907141
1.0,151,309.230834
1.0,281,309.764466
1.0,232,310.186658
1.0,268,310.790425
1.0,283,346.881381
1.0,216,347.342066
1.0,284,347.900783
1.0,226,348.407644
1.0,214,348.808869
1.0,191,349.289044
1.0,302,349.888228
1.0,211,350.345917
1.0,233,385.632916
1.0,205,386.048254
1.0,175,386.410254
1.0,152,386.748616
1.0,220,387.172963
1.0,165,387.498718
1.0,270,388.085907
1.0,152,388.494197
1.0,284,389.156793
1.0,146,389.486866
1.0,153,389.834077
1.0,200,425.1526
1.0,210,425.55817
1.0,148,425.848507
1.0,145,426.166215
1.0,235,426.630152
1.0,235,427.169874
1.0,147,427.494213
1.0,193,427.932423
1.0,154,428.239293
1.0,194,428.709501
1.0,186,429.084692
1.0,240,464.340386
1.0,205,464.819368
1.0,146,465.121136
1.0,150,465.441678
1.0,241,465.862762
1.0,181,466.257962
1.0,175,466.609311
1.0,186,466.986671
1.0,140,467.328504
1.0,173,467.70129
1.0,149,468.052165
1.0,194,502.848522
1.0,265,503.331265
1.0,164,503.691615
1.0,178,504.044595
1.0,190,504.406236
1.0,147,504.686764
1.0,174,504.994271
1.0,146,505.283269
1.0,157,505.606433
1.0,232,506.123957
1.0,175,506.485999
1.0,200,542.001749
1.0,117,542.233741
1.0,151,542.542074
1.0,160,542.885967
1.0,236,543.296618
1.0,267,543.802615
1.0,150,544.08676
1.0,142,544.354348
1.0,147,544.619118
1.0,223,545.012904
1.0,245,545.47262
1.0,154,581.107774
1.0,294,581.650951
1.0,154,582.011755
1.0,145,582.310427
1.0,151,582.586278
1.0,148,582.880412
1.0,197,583.316848
1.0,153,583.66266
1.0,248,584.152488
1.0,226,584.671381
1.0,154,584.965257
1.0,154,585.291349
1.0,249,620.864063
1.0,223,621.329403
1.0,195,621.7163
1.0,248,622.221209
1.0,180,622.629072
1.0,153,622.929496
1.0,192,623.320019
1.0,154,623.594656
1.0,181,623.898964
1.0,145,624.238914
1.0,201,658.589078
1.0,131,658.886373
1.0,153,659.138806
1.0,111,659.390933
1.0,157,659.71343
1.0,195,660.103245
1.0,152,660.426881
1.0,119,660.736094
1.0,208,661.238727
1.0,224,661.622766
1.0,81,661.792974
1.0,145,662.112062
1.0,151,662.445309
1.0,150,662.780466
1.0,154,698.17883
1.0,156,698.523401
1.0,124,698.811494
1.0,128,699.118242
1.0,154,699.387425
1.0,116,699.623226
1.0,203,700.074647
1.0,196,700.491699
1.0,165,700.864833
1.0,188,701.342782
1.0,176,701.769441
1.0,181,702.16049
1.0,200,737.055506
1.0,150,737.40994
1.0,148,737.707438
1.0,88,737.915456
1.0,205,738.308568
1.0,158,738.637628
1.0,162,738.945904
1.0,120,739.143362
1.0,217,739.547416
1.0,137,739.846158
1.0,153,740.200372
1.0,140,740.470567
1.0,152,740.727652
1.0,170,775.510907
1.0,152,775.843845
1.0,153,776.130986
1.0,149,776.400844
1.0,154,776.711324
1.0,124,776.962789
1.0,113,777.209275
1.0,125,777.422398
1.0,97,777.59951
1.0,117,777.823456
1.0,120,778.102006
1.0,157,778.464501
1.0,98,778.685834
1.0,145,779.0061
1.0,175,779.382483
1.0,109,779.607487
1.0,83,814.830369
1.0,82,815.047428
1.0,116,815.237483
1.0,111,815.530516
1.0,154,815.829181
1.0,137,816.097991
1.0,129,816.411214
1.0,160,816.733897
1.0,166,817.072416
1.0,123,817.300612
1.0,112,817.530353
1.0,127,817.770234
1.0,121,818.022054
1.0,156,818.299087
1.0,82,818.505254
1.0,149,818.769908
1.0,181,854.328038
1.0,81,854.513816
1.0,161,854.851827
1.0,80,855.017732
1.0,78,855.209012
1.0,129,855.553382
1.0,148,855.936673
1.0,202,856.445411
1.0,149,856.818082
1.0,148,857.140211
1.0,149,857.445361
1.0,150,857.774044
1.0,170,858.158254
1.0,117,858.375795
1.0,191,893.426479
1.0,163,893.813446
1.0,87,894.040576
1.0,146,894.3571
1.0,162,894.634974
1.0,123,894.851789
1.0,85,895.070182
1.0,81,895.247066
1.0,97,895.45278
1.0,180,895.830661
1.0,113,896.067217
1.0,83,896.287251
1.0,146,896.622926
1.0,180,897.068006
1.0,96,897.298728
1.0,86,897.467111
1.0,163,897.818388
1.0,108,932.986343
1.0,113,933.226557
1.0,95,933.427298
1.0,78,933.563593
1.0,95,933.773524
1.0,87,933.964718
1.0,109,934.222236
1.0,169,934.59115
1.0,152,934.968837
1.0,102,935.187321
1.0,117,935.387135
1.0,179,935.743443
1.0,81,935.892282
1.0,88,936.050679
1.0,88,936.221025
1.0,148,936.508164
1.0,91,936.707677
1.0,113,936.989964
1.0,101,972.282329
1.0,83,972.469251
1.0,124,972.706895
1.0,76,972.904473
1.0,80,973.111342
1.0,107,973.394634
1.0,120,973.647668
1.0,116,973.844154
1.0,80,973.970949
1.0,149,974.261584
1.0,80,974.400428
1.0,85,974.551747
1.0,154,974.891957
1.0,89,975.055116
1.0,156,975.443729
1.0,81,975.600374
1.0,92,975.765385
1.0,123,976.021651
1.0,81,976.174309
1.0,88,976.33448
1.0,81,1010.36115
1.0,82,1010.498237
1.0,90,1010.645601
1.0,86,1010.790307
1.0,76,1010.921602
1.0,152,1011.168785
1.0,76,1011.303914
1.0,157,1011.563275
1.0,77,1011.695467
1.0,155,1011.957233
1.0,148,1012.192624
1.0,81,1012.331827
1.0,89,1012.496338
1.0,168,1012.767202
1.0,114,1012.959355
1.0,88,1013.11579
1.0,77,1013.242024
1.0,154,1013.509097
1.0,137,1013.736208
1.0,79,1041.119807
1.0,76,1041.259632
1.0,98,1041.42198
1.0,80,1041.549641
1.0,84,1041.704567
1.0,77,1041.827078
1.0,156,1042.09821
1.0,162,1042.410607
1.0,97,1042.576366
1.0,110,1042.769109
1.0,82,1042.89763
1.0,113,1043.0892
1.0,106,1043.261425
1.0,78,1043.398698
1.0,80,1043.533421
1.0,82,1043.661752
1.0,105,1043.837682
1.0,84,1043.990063
1.0,81,1044.117677
1.0,77,1044.254071
1.0,112,1044.444127
1.0,78,1072.714446
1.0,81,1072.860346
1.0,171,1073.145105
1.0,85,1073.288715
1.0,78,1073.414416
1.0,132,1073.652502
1.0,141,1073.879771
1.0,84,1074.021495
1.0,79,1074.162914
1.0,110,1074.347329
1.0,102,1074.516382
1.0,80,1074.649143
1.0,163,1074.935722
1.0,160,1075.217613
1.0,80,1075.345102
1.0,78,1075.470762
1.0,147,1075.727575
1.0,82,1075.864697
1.0,84,1076.003822
1.0,79,1104.479428
1.0,169,1104.760049
1.0,79,1104.906413
1.0,74,1105.028421
1.0,168,1105.314542
1.0,76,1105.438131
1.0,94,1105.591299
1.0,77,1105.715532
1.0,83,1105.865771
1.0,91,1106.01376
1.0,78,1106.140765
1.0,74,1106.271144
1.0,97,1106.432611
1.0,80,1106.563409
1.0,86,1106.707492
1.0,100,1106.875508
1.0,79,1107.013595
1.0,78,1107.142164
1.0,83,1107.284342
1.0,137,1107.519951
1.0,89,1107.666603
1.0,77,1107.790662
1.0,79,1135.410984
1.0,94,1135.57448
1.0,80,1135.702467
1.0,79,1135.845241
1.0,79,1135.971444
1.0,92,1136.133946
1.0,80,1136.269225
1.0,78,1136.395149
1.0,75,1136.530556
1.0,84,1136.668235
1.0,78,1136.793459
1.0,78,1136.918467
1.0,93,1137.080188
1.0,77,1137.205321
1.0,76,1137.340688
1.0,78,1137.465684
1.0,77,1137.598809
1.0,78,1137.725485
1.0,76,1137.861221
1.0,123,1138.073347
1.0,82,1138.206087
1.0,146,1138.449717
1.0,78,1138.587306
1.0,77,1138.711854
1.0,77,1138.848202
1.0,75,1166.622342
1.0,85,1166.76831
1.0,155,1167.051066
1.0,84,1167.190301
1.0,77,1167.327382
1.0,86,1167.472175
1.0,78,1167.610171
1.0,85,1167.748276
1.0,78,1167.875718
1.0,81,1168.0124
1.0,107,1168.202785
1.0,74,1168.325585
1.0,75,1168.448338
1.0,154,1168.71016
1.0,75,1168.832837
1.0,86,1168.976961
1.0,79,1169.114607
1.0,80,1169.240934
1.0,77,1169.3768
1.0,77,1169.50201
1.0,89,1169.656158
1.0,80,1169.782347
1.0,165,1197.809729
1.0,170,1198.091498
1.0,77,1198.22751
1.0,97,1198.379839
1.0,75,1198.500704
1.0,81,1198.64514
1.0,82,1198.77727
1.0,90,1198.927804
1.0,162,1199.200872
1.0,79,1199.324687
1.0,78,1199.458912
1.0,80,1199.585075
1.0,80,1199.717207
1.0,82,1199.865305
1.0,77,1199.984975
1.0,85,1200.124865
1.0,77,1200.262538
1.0,144,1200.509326
1.0,160,1200.787819
1.0,78,1200.914782
1.0,76,1201.03965
1.0,80,1228.760225
1.0,80,1228.904432
1.0,82,1229.045639
1.0,78,1229.171641
1.0,77,1229.308858
1.0,83,1229.451149
1.0,87,1229.602841
1.0,75,1229.735481
1.0,83,1229.889456
1.0,80,1230.016909
1.0,78,1230.154369
1.0,77,1230.278541
1.0,80,1230.409047
1.0,77,1230.533312
1.0,78,1230.675071
1.0,76,1230.8148
1.0,77,1230.943783
1.0,77,1231.083983
1.0,81,1231.225654
1.0,79,1231.364294
