# {"t_start": 1593271514.8619387, "env_id": "InvertedDoublePendulum-v2"} 
r,l,t
35.573983,4,3.694786
54.482651,6,3.700506
54.744631,6,3.706212
35.606005,4,3.710116
35.947311,4,3.71398
44.896957,5,3.718721
73.005711,8,3.726186
91.121806,10,3.735406
35.975073,4,3.739388
54.303954,6,3.745052
54.619012,6,3.750723
35.741733,4,3.754721
45.178818,5,3.759522
35.903241,4,3.763446
73.281558,8,3.770914
109.936905,12,3.781881
54.24312,6,3.787951
82.692694,9,3.796258
63.485673,7,3.802857
129.229295,14,3.81561
35.729453,4,3.819548
53.914608,6,3.825184
54.456329,6,3.830998
91.784269,10,3.840319
45.199477,5,3.845162
45.223361,5,3.850059
45.015581,5,3.854902
45.313155,5,3.859701
54.594746,6,3.8654
73.01335,8,3.87293
44.784998,5,3.877751
35.88152,4,3.881649
54.585889,6,3.887336
63.693525,7,3.893838
63.941738,7,3.900424
63.739634,7,3.906998
63.832052,7,3.913837
54.039446,6,3.919635
54.18106,6,3.925289
44.959453,5,3.930144
44.932503,5,3.935088
63.832945,7,3.941597
54.431001,6,3.947317
54.03744,6,3.952951
44.734317,5,3.957711
35.558756,4,3.961637
82.52022,9,3.96992
44.729881,5,3.975434
54.219711,6,3.98138
72.483285,8,3.989125
44.640517,5,3.994191
82.143824,9,4.002834
73.053105,8,4.010615
54.814041,6,4.016549
82.827328,9,4.025248
82.690973,9,4.034004
63.744735,7,4.040845
63.799611,7,4.047659
63.221022,7,4.054495
36.043399,4,4.058633
36.040317,4,4.062763
36.10032,4,4.06687
35.889987,4,4.070933
91.593708,10,4.080442
35.844568,4,4.084605
81.752225,9,4.093252
35.627971,4,4.097416
35.574342,4,4.10155
73.17312,8,4.109261
147.511942,16,4.124271
63.732208,7,4.131143
71.67186,8,4.138878
63.41113,7,4.145762
54.442521,6,4.151633
26.930189,3,4.154902
54.262351,6,4.160784
63.521247,7,4.167658
62.847328,7,4.174576
54.70249,6,4.180465
35.96603,4,4.18464
72.644541,8,4.192375
82.554841,9,4.201036
36.144919,4,4.205152
54.673789,6,4.211092
35.825788,4,4.215209
44.83819,5,4.220262
82.117664,9,4.229008
54.632174,6,4.234959
54.580163,6,4.241505
35.530298,4,4.245909
63.277362,7,4.252777
63.65204,7,4.259671
54.584143,6,4.265663
63.226841,7,4.272575
45.206966,5,4.277581
73.512247,8,4.285368
110.786942,12,4.296762
45.146861,5,4.301875
63.736944,7,4.308681
109.744485,12,4.320132
54.649238,6,4.326048
54.200799,6,4.332014
63.280286,7,4.338853
72.966891,8,4.346592
91.846859,10,4.356223
63.257578,7,4.363112
72.906255,8,4.370935
35.760813,4,4.375033
91.203487,10,4.384618
54.387455,6,4.390635
35.951055,4,4.394729
63.915762,7,4.401631
63.376717,7,4.408467
44.823252,5,4.413501
35.958849,4,4.417704
82.19118,9,4.426392
64.1674,7,4.433369
54.255473,6,4.439319
54.533312,6,4.445304
44.821966,5,4.450356
45.456402,5,4.455334
35.929099,4,4.459507
101.054268,11,4.469966
54.570725,6,4.47592
35.362371,4,4.480033
54.25076,6,4.48595
44.957725,5,4.491
45.162418,5,4.496072
91.832135,10,4.505719
54.100172,6,4.511773
91.286117,10,4.521854
73.415738,8,4.529851
44.503154,5,4.535117
63.62558,7,4.542174
26.912078,3,4.545483
54.119847,6,4.551579
54.541679,6,4.557653
45.158091,5,4.562799
73.134119,8,4.570671
45.171748,5,4.575942
63.191775,7,4.582863
73.072506,8,4.590927
81.27468,9,4.599704
54.15912,6,4.605853
35.563135,4,4.610029
91.985067,10,4.619574
64.060457,7,4.626564
54.424203,6,4.632559
45.199818,5,4.637639
100.963913,11,4.648286
45.442251,5,4.653526
54.54412,6,4.659586
45.094675,5,4.66466
63.836835,7,4.671824
44.867996,5,4.676859
63.606135,7,4.683875
72.753769,8,4.691948
44.694563,5,4.697067
36.148298,4,4.701365
35.570397,4,4.705615
45.026291,5,4.710732
35.857067,4,4.714927
82.262577,9,4.723859
54.686448,6,4.729959
72.895572,8,4.737932
35.553247,4,4.742099
45.35361,5,4.7472
35.744741,4,4.751625
72.881751,8,4.759486
54.188787,6,4.765635
54.847437,6,4.771728
45.334849,5,4.776813
36.052463,4,4.781102
81.868214,9,4.789905
73.247661,8,4.797991
45.042262,5,4.803114
63.341232,7,4.810096
54.061486,6,4.816268
73.090926,8,4.824172
54.209853,6,4.830393
45.602266,5,4.835577
36.006055,4,4.839783
91.358466,10,4.849628
35.66605,4,4.853784
63.757856,7,4.860898
35.891888,4,4.865144
63.281302,7,4.872008
64.030345,7,4.879053
82.267682,9,4.887779
44.99391,5,4.893008
35.422076,4,4.897127
45.168936,5,4.902178
35.926926,4,4.906471
63.682612,7,4.913536
26.962082,3,4.916755
36.104824,4,4.920985
72.511479,8,4.92899
45.07845,5,4.934106
72.523693,8,4.942137
63.754998,7,4.949089
72.70345,8,4.957098
63.331414,7,4.9641
72.168303,8,4.972003
26.764212,3,4.975461
26.797955,3,4.978683
63.795014,7,4.985557
45.431304,5,4.99079
72.460085,8,4.998535
45.579129,5,5.003569
73.023849,8,5.011329
54.285091,6,5.018085
35.561587,4,5.022878
54.453416,6,5.02859
36.121368,4,5.032656
54.567396,6,5.038399
54.239264,6,5.044206
54.079163,6,5.05001
45.134211,5,5.055018
53.927484,6,5.060788
54.185482,6,5.066553
54.013803,6,5.072478
73.191273,8,5.080002
63.839371,7,5.086818
54.665258,6,5.092582
44.647467,5,5.097448
44.995052,5,5.102511
72.973156,8,5.11008
73.084624,8,5.11814
35.694016,4,5.122261
73.112407,8,5.129817
54.134135,6,5.135755
73.256349,8,5.143276
53.953103,6,5.149153
54.717883,6,5.154976
44.977635,5,5.159866
44.798927,5,5.164828
35.995568,4,5.168834
53.873846,6,5.174663
73.590175,8,5.182366
54.213917,6,5.188655
45.49086,5,5.193594
63.75008,7,5.200447
45.215958,5,5.205286
91.543566,10,5.214816
36.204099,4,5.218821
45.304827,5,5.223728
45.147916,5,5.228699
54.116494,6,5.234571
44.516495,5,5.23948
45.114685,5,5.244951
63.484825,7,5.251676
35.745061,4,5.25572
73.220585,8,5.263328
45.193869,5,5.268197
35.862003,4,5.272228
45.282046,5,5.277253
54.029242,6,5.283257
36.242439,4,5.287261
26.84542,3,5.290384
54.355803,6,5.296308
35.493225,4,5.300405
54.477013,6,5.306306
72.785322,8,5.314001
45.190603,5,5.3189
81.957873,9,5.327293
45.511146,5,5.332207
26.797551,3,5.335367
73.513613,8,5.343102
26.805555,3,5.346238
45.510407,5,5.351099
63.841137,7,5.357782
45.03097,5,5.362653
36.233895,4,5.366671
54.587848,6,5.372408
63.773851,7,5.379077
35.879912,4,5.383079
119.153784,13,5.395119
63.789976,7,5.40178
35.855006,4,5.405835
82.668849,9,5.414208
63.110496,7,5.42088
63.788759,7,5.427579
36.350156,4,5.431817
35.468404,4,5.435849
82.019361,9,5.444496
73.074867,8,5.452088
63.32603,7,5.459052
45.369441,5,5.463951
54.038236,6,5.469913
91.800725,10,5.47938
45.138392,5,5.484478
54.480458,6,5.49034
45.387555,5,5.49529
45.408799,5,5.500225
54.778219,6,5.506221
45.116431,5,5.511175
36.029983,4,5.515173
73.648501,8,5.522985
45.262439,5,5.527903
63.189176,7,5.534925
63.358252,7,5.541683
54.44394,6,5.547559
54.617065,6,5.553621
45.235906,5,5.558547
73.05094,8,5.56639
35.813278,4,5.570497
36.154233,4,5.574528
63.486373,7,5.581428
100.466743,11,5.591852
82.304939,9,5.600541
73.39613,8,5.608245
54.763647,6,5.614234
91.566858,10,5.623835
54.413302,6,5.630042
26.793389,3,5.633328
54.376573,6,5.639172
91.670992,10,5.648798
63.56978,7,5.655609
54.31722,6,5.661572
92.113239,10,5.671035
63.484016,7,5.678039
45.20105,5,5.683079
100.379673,11,5.693519
110.43515,12,5.704747
54.675468,6,6.922151
63.919417,7,6.929049
45.001297,5,6.934373
35.665528,4,6.938432
91.980096,10,6.947866
91.823033,10,6.957406
63.367499,7,6.964094
54.713478,6,6.969851
73.17178,8,6.977474
35.731833,4,6.981579
73.219839,8,6.989287
119.164356,13,7.001631
44.809552,5,7.006671
36.232198,4,7.010976
44.850222,5,7.016333
72.501141,8,7.024143
44.961456,5,7.029245
73.226609,8,7.03719
54.421595,6,7.043187
72.928384,8,7.051213
63.401196,7,7.058054
35.396638,4,7.062141
45.144695,5,7.067703
45.253506,5,7.072783
63.937808,7,7.079685
63.545783,7,7.086766
72.979028,8,7.094491
64.000597,7,7.101619
45.394231,5,7.106621
63.34845,7,7.11344
