# {"t_start": 1593300178.6254034, "env_id": "MountainCar-v0"} 
r,l,t
-200.0,200,1.523546
-200.0,200,1.694353
-200.0,200,1.864339
-200.0,200,2.034562
-200.0,200,2.203661
-200.0,200,2.372963
-200.0,200,2.544545
-200.0,200,2.719107
-200.0,200,2.894535
-200.0,200,3.065733
-200.0,200,7.621931
-200.0,200,7.803295
-200.0,200,7.977736
-200.0,200,8.151797
-200.0,200,8.326519
-200.0,200,8.49866
-200.0,200,8.670869
-200.0,200,8.847343
-200.0,200,9.020366
-200.0,200,9.192509
-200.0,200,23.128923
-200.0,200,23.301069
-200.0,200,23.473416
-200.0,200,23.645559
-200.0,200,23.817636
-200.0,200,23.989993
-200.0,200,24.161833
-200.0,200,24.334131
-200.0,200,24.506355
-200.0,200,24.67948
-200.0,200,38.681148
-200.0,200,38.881587
-200.0,200,39.064349
-200.0,200,39.236883
-200.0,200,39.408791
-200.0,200,39.580531
-200.0,200,39.752351
-200.0,200,39.924041
-200.0,200,40.096007
-200.0,200,40.269037
-200.0,200,54.113452
-200.0,200,54.286532
-200.0,200,54.458915
-200.0,200,54.631926
-200.0,200,54.804089
-200.0,200,54.976514
-200.0,200,55.149448
-200.0,200,55.321667
-200.0,200,55.49379
-200.0,200,55.666099
-200.0,200,55.838896
-200.0,200,69.958728
-200.0,200,70.132092
-200.0,200,70.305416
-200.0,200,70.478832
-200.0,200,70.651987
-200.0,200,70.825231
-200.0,200,70.998029
-200.0,200,71.171719
-200.0,200,71.343795
-200.0,200,71.516071
-200.0,200,85.730392
-200.0,200,85.911718
-200.0,200,86.087243
-200.0,200,86.26389
-200.0,200,86.43671
-200.0,200,86.608576
-200.0,200,86.781636
-200.0,200,86.953578
-200.0,200,87.126454
-200.0,200,87.312283
-200.0,200,101.371447
-200.0,200,101.5446
-200.0,200,101.717895
-200.0,200,101.889714
-200.0,200,102.063143
-200.0,200,102.240645
-200.0,200,102.418803
-200.0,200,102.596073
-200.0,200,102.773629
-200.0,200,102.950864
-200.0,200,116.911687
-200.0,200,117.093041
-200.0,200,117.281959
-200.0,200,117.469855
-200.0,200,117.652741
-200.0,200,117.831228
-200.0,200,118.00444
-200.0,200,118.177974
-200.0,200,118.352164
-200.0,200,118.536831
-200.0,200,118.721853
-184.0,184,132.639312
-200.0,200,132.822164
-200.0,200,133.015664
-178.0,178,133.189639
-200.0,200,133.371523
-200.0,200,133.550928
-200.0,200,133.732084
-168.0,168,133.883772
-200.0,200,134.065631
-200.0,200,134.248984
-200.0,200,149.318206
-172.0,172,149.47854
-200.0,200,149.659367
-185.0,185,149.823892
-200.0,200,150.011473
-133.0,133,150.145513
-140.0,140,150.269704
-168.0,168,150.418803
-131.0,131,150.544052
-200.0,200,150.721283
-172.0,172,150.874206
-170.0,170,151.02603
-166.0,166,167.302413
-171.0,171,167.491692
-168.0,168,167.648431
-173.0,173,167.814441
-166.0,166,167.975122
-200.0,200,168.24414
-160.0,160,168.388345
-185.0,185,168.551572
-200.0,200,168.793167
-171.0,171,169.008225
-167.0,167,169.163542
-188.0,188,169.466766
-169.0,169,190.652127
-162.0,162,190.820389
-200.0,200,191.051867
-157.0,157,191.241887
-200.0,200,191.435904
-184.0,184,191.610688
-200.0,200,192.006705
-157.0,157,192.246838
-123.0,123,192.374092
-174.0,174,192.535023
-200.0,200,192.735679
-148.0,148,192.874614
-131.0,131,215.486377
-159.0,159,215.648772
-163.0,163,215.879004
-156.0,156,216.017485
-129.0,129,216.132428
-162.0,162,216.363296
-200.0,200,216.628945
-162.0,162,216.779478
-130.0,130,216.960181
-148.0,148,217.138006
-151.0,151,217.363737
-141.0,141,217.614511
-157.0,157,217.810918
-132.0,132,239.792728
-169.0,169,239.968645
-157.0,157,240.109093
-166.0,166,240.277384
-159.0,159,240.536196
-146.0,146,240.672363
-160.0,160,240.821747
-154.0,154,240.995852
-159.0,159,241.13781
-124.0,124,241.376258
-153.0,153,241.533937
-155.0,155,241.68025
-146.0,146,241.851135
-152.0,152,242.069309
-128.0,128,263.131517
-156.0,156,263.272486
-130.0,130,263.390179
-184.0,184,263.578569
-120.0,120,263.687251
-159.0,159,263.831026
-171.0,171,264.173638
-158.0,158,264.477378
-190.0,190,264.654883
-158.0,158,264.896539
-169.0,169,265.086376
-145.0,145,265.222206
-133.0,133,265.364326
-138.0,138,288.165647
-159.0,159,288.456608
-132.0,132,288.672722
-152.0,152,288.807728
-143.0,143,288.971852
-169.0,169,289.276017
-121.0,121,289.384071
-149.0,149,289.583448
-153.0,153,289.774642
-146.0,146,289.90427
-160.0,160,290.046016
-159.0,159,290.199091
-135.0,135,290.37312
-126.0,126,290.551426
-156.0,156,313.548847
-142.0,142,313.719384
-148.0,148,314.008853
-143.0,143,314.208039
-148.0,148,314.343954
-152.0,152,314.523719
-168.0,168,314.741343
-154.0,154,314.890417
-143.0,143,315.044047
-135.0,135,315.23125
-158.0,158,315.458768
-150.0,150,315.696522
-126.0,126,315.81021
-156.0,156,315.951107
-146.0,146,338.396324
-117.0,117,338.667874
-154.0,154,338.819231
-154.0,154,338.966337
-150.0,150,339.174301
-146.0,146,339.404055
-149.0,149,339.574893
-171.0,171,339.887774
-160.0,160,340.11045
-124.0,124,340.227821
-168.0,168,340.412982
-152.0,152,340.612424
-177.0,177,340.784309
-155.0,155,362.527245
-147.0,147,362.803477
-158.0,158,363.084624
-169.0,169,363.255198
-132.0,132,363.457088
-142.0,142,363.611845
-129.0,129,363.726813
-160.0,160,363.869215
-150.0,150,364.00268
-147.0,147,364.182849
-122.0,122,364.295628
-89.0,89,364.377421
-156.0,156,364.590857
-170.0,170,364.791343
-158.0,158,387.065262
-146.0,146,387.341886
-151.0,151,387.600524
-160.0,160,387.748523
-153.0,153,387.890151
-97.0,97,388.038875
-163.0,163,388.320354
-163.0,163,388.474475
-166.0,166,388.691711
