# {"t_start": 1594067951.2011864, "env_id": "MountainCarSparse-v0"} 
r,l,t
0,999,5.84253
0,999,7.866265
0,999,12.912699
0,999,15.023644
0,999,20.026361
0,999,22.221747
0,999,27.370336
0,999,29.297426
0,999,34.263095
0,999,36.301558
0,999,41.349147
0,999,43.341325
0,999,48.489629
0,999,50.517267
0,999,55.413339
0,999,57.396637
0,999,62.206694
0,999,64.436437
0,999,69.409676
0,999,71.577861
0,999,76.587882
0,999,78.699885
0,999,83.448279
0,999,85.638616
0,999,90.529158
0,999,92.521515
0,999,97.144593
0,999,99.139846
0,999,104.147098
0,999,106.027617
0,999,111.33509
0,999,113.397201
0,999,118.519677
0,999,120.705529
0,999,125.844627
0,999,127.860955
0,999,132.737602
0,999,134.729557
0,999,139.850084
0,999,141.826146
0,999,143.881724
0,999,148.882111
0,999,150.886397
1.0,817,155.5556
0,999,157.409608
0,999,162.491268
0,999,164.63149
0,999,169.540021
1.0,226,169.982462
1.0,485,171.002368
0,999,176.058566
1.0,643,177.454063
0,999,179.438853
1.0,403,183.317199
0,999,185.42377
1.0,252,185.943127
1.0,999,190.96977
1.0,383,191.804844
1.0,348,192.510866
0,999,197.549306
0,999,199.757733
1.0,940,204.663719
1.0,246,205.180058
1.0,194,205.565278
1.0,264,206.042433
1.0,330,206.748971
1.0,247,207.302046
1.0,150,207.616434
1.0,218,208.002562
1.0,577,212.072455
1.0,203,212.501638
1.0,174,212.868462
1.0,155,213.209124
1.0,221,213.705003
1.0,153,214.020745
1.0,440,214.964716
1.0,686,219.396855
1.0,425,220.244042
1.0,144,220.553703
1.0,143,220.874606
1.0,306,221.496569
1.0,209,221.94688
1.0,390,222.859478
1.0,223,226.388024
1.0,144,226.679266
1.0,212,227.038492
1.0,146,227.371072
1.0,191,227.753421
1.0,149,228.101567
1.0,262,228.630652
1.0,152,228.897849
1.0,210,229.399939
1.0,206,229.806208
1.0,402,233.731732
1.0,225,234.235484
1.0,217,234.718629
1.0,360,235.481522
1.0,342,236.15787
1.0,224,236.564715
1.0,333,237.194266
1.0,225,237.687058
1.0,313,241.493729
1.0,182,241.873323
1.0,214,242.400706
1.0,205,242.825568
1.0,154,243.183122
1.0,246,243.721295
1.0,437,244.625976
1.0,156,245.010304
1.0,155,245.291816
1.0,221,248.728332
1.0,210,249.176339
1.0,322,249.805647
1.0,472,250.854859
1.0,364,251.608793
1.0,289,252.309134
1.0,147,252.659435
1.0,207,256.285619
1.0,276,256.941453
1.0,352,257.636174
1.0,151,257.967503
1.0,335,258.671868
1.0,224,259.154585
1.0,186,259.612945
1.0,141,259.928927
1.0,153,260.28751
1.0,321,263.870714
1.0,238,264.377949
1.0,148,264.69198
1.0,143,265.004832
1.0,150,265.351414
1.0,217,265.735533
1.0,169,266.01963
1.0,271,266.598175
1.0,315,267.263865
1.0,214,270.962024
1.0,192,271.317754
1.0,152,271.606043
1.0,148,271.946888
1.0,147,272.247151
1.0,148,272.577216
1.0,303,273.263688
1.0,232,273.699573
1.0,225,274.176812
1.0,285,274.680436
1.0,147,274.985729
1.0,208,278.565807
1.0,148,278.895999
1.0,206,279.294818
1.0,211,279.78771
1.0,143,280.067001
1.0,214,280.540442
1.0,150,280.83274
1.0,179,281.171319
1.0,197,281.54938
1.0,141,281.83301
1.0,229,282.321606
1.0,147,285.545588
1.0,147,285.841509
1.0,212,286.281539
1.0,232,286.750222
1.0,150,287.131882
1.0,142,287.41545
1.0,139,287.641946
1.0,307,288.315921
1.0,142,288.599148
1.0,145,288.898833
1.0,147,289.185617
1.0,212,292.78418
1.0,160,293.094527
1.0,155,293.406404
1.0,139,293.701956
1.0,153,294.044892
1.0,148,294.326948
1.0,141,294.652394
1.0,211,295.14126
1.0,199,295.46919
1.0,144,295.768742
1.0,214,296.220448
1.0,219,296.66807
1.0,216,300.216185
1.0,140,300.487215
1.0,141,300.740142
1.0,210,301.238467
1.0,215,301.683734
1.0,263,302.226493
1.0,145,302.510649
1.0,215,302.885933
1.0,146,303.135316
1.0,138,303.379037
1.0,142,303.683541
1.0,241,307.090538
1.0,281,307.591176
1.0,211,308.003796
1.0,289,308.5342
1.0,217,308.944123
1.0,219,309.32917
1.0,223,309.756803
1.0,255,310.27028
1.0,214,310.779914
1.0,286,314.412777
1.0,143,314.66885
1.0,141,314.941416
1.0,208,315.293325
1.0,150,315.546777
1.0,284,316.041393
1.0,138,316.341282
1.0,142,316.653065
1.0,139,316.925375
1.0,142,317.214557
1.0,142,317.457582
1.0,211,317.866822
1.0,143,321.325321
1.0,271,321.912103
1.0,151,322.16686
1.0,234,322.624633
1.0,217,323.035785
1.0,245,323.478598
1.0,284,324.074355
1.0,141,324.313655
1.0,149,324.612996
1.0,145,324.882714
1.0,235,328.577863
1.0,199,328.957582
1.0,140,329.269231
1.0,148,329.586387
1.0,281,330.193345
1.0,232,330.663066
1.0,237,331.063525
1.0,146,331.323093
1.0,207,331.790053
1.0,148,332.078132
1.0,220,335.619735
1.0,180,336.057627
1.0,145,336.398523
1.0,139,336.672542
1.0,201,337.017219
1.0,139,337.264617
1.0,147,337.595104
1.0,148,337.863909
1.0,136,338.119412
1.0,187,338.461052
1.0,213,338.940594
1.0,139,339.186888
1.0,228,342.680068
1.0,141,343.037457
1.0,177,343.407872
1.0,140,343.672947
1.0,142,344.026787
1.0,145,344.381738
1.0,231,344.961907
1.0,140,345.245097
1.0,150,345.601265
1.0,148,345.941699
1.0,141,346.23213
1.0,138,346.52055
1.0,143,346.764662
1.0,148,347.143993
1.0,138,350.440361
1.0,137,350.755594
1.0,187,351.124816
1.0,226,351.548273
1.0,161,351.820151
1.0,143,352.147044
1.0,137,352.465379
1.0,169,352.80688
1.0,139,353.081573
1.0,146,353.376754
1.0,151,353.644
1.0,137,353.868966
1.0,177,354.236546
1.0,143,357.625116
1.0,140,357.910767
1.0,295,358.482616
1.0,138,358.811167
1.0,141,359.12113
1.0,164,359.482424
1.0,157,359.737946
1.0,146,359.994455
1.0,213,360.405056
1.0,219,360.852338
1.0,182,361.2239
1.0,138,361.458358
1.0,137,364.730151
1.0,140,365.03653
1.0,135,365.317609
1.0,170,365.700976
1.0,238,366.193484
1.0,136,366.477545
1.0,142,366.778912
1.0,144,367.062932
1.0,138,367.360192
1.0,198,367.714959
1.0,169,368.077486
1.0,225,368.519696
1.0,139,371.75966
1.0,144,372.059963
1.0,143,372.30699
1.0,189,372.753963
1.0,143,373.021837
1.0,144,373.334404
1.0,138,373.579585
1.0,138,373.89754
1.0,141,374.188561
1.0,136,374.522579
1.0,146,374.889256
1.0,142,375.23895
1.0,138,375.496614
1.0,142,375.720909
1.0,135,379.234468
1.0,138,379.581097
1.0,141,379.868499
1.0,149,380.1722
1.0,149,380.491623
1.0,137,380.735133
1.0,139,381.017093
1.0,139,381.264094
1.0,137,381.516687
1.0,144,381.79078
1.0,83,381.961437
1.0,140,382.238872
1.0,151,382.574461
1.0,137,382.875852
1.0,142,383.198641
1.0,183,386.753221
1.0,142,387.083033
1.0,154,387.427836
1.0,146,387.712802
1.0,138,387.921991
1.0,140,388.16644
1.0,220,388.568855
1.0,211,388.956604
1.0,138,389.289587
1.0,142,389.6258
1.0,134,389.931411
1.0,139,390.173326
1.0,144,390.448974
1.0,136,393.674663
1.0,143,393.995149
1.0,136,394.277945
1.0,142,394.570819
1.0,146,394.828449
1.0,143,395.119626
1.0,145,395.478106
1.0,195,395.899086
1.0,136,396.164511
1.0,139,396.416067
1.0,146,396.705078
1.0,136,397.02158
1.0,171,397.413094
1.0,147,397.746279
1.0,137,400.985056
1.0,227,401.433748
1.0,141,401.733051
1.0,158,401.992517
1.0,142,402.278549
1.0,158,402.588549
1.0,144,402.909804
1.0,78,403.042937
1.0,225,403.431001
1.0,133,403.651976
1.0,160,403.965859
1.0,135,404.201468
1.0,170,404.508621
1.0,140,404.843935
1.0,145,408.506811
1.0,159,408.804929
1.0,149,409.057346
1.0,143,409.345875
1.0,158,409.63547
1.0,141,409.968269
1.0,194,410.406744
1.0,141,410.707029
1.0,216,411.132091
1.0,138,411.407465
1.0,136,411.669629
1.0,135,411.956454
1.0,148,412.287228
1.0,140,415.597731
1.0,198,415.976224
1.0,136,416.21367
1.0,140,416.526757
1.0,137,416.817671
1.0,150,417.148539
1.0,139,417.435081
1.0,80,417.576873
1.0,78,417.70826
1.0,145,418.016525
1.0,137,418.314413
1.0,136,418.607924
1.0,144,418.898098
1.0,147,419.19816
1.0,139,419.520755
1.0,140,422.984193
1.0,136,423.307598
1.0,164,423.660446
1.0,143,423.987009
1.0,130,424.219788
1.0,152,424.485227
1.0,144,424.784473
1.0,86,424.928184
1.0,135,425.250186
1.0,140,425.586874
1.0,130,425.848855
1.0,211,426.349722
1.0,77,426.505201
1.0,139,426.797179
1.0,137,427.039607
1.0,146,430.280571
1.0,145,430.610795
1.0,140,430.943844
1.0,129,431.231501
1.0,138,431.503649
1.0,142,431.757662
1.0,148,432.025769
1.0,151,432.270473
1.0,79,432.41662
1.0,141,432.725496
1.0,77,432.909707
1.0,150,433.169177
1.0,82,433.347133
1.0,178,433.690979
1.0,142,433.95869
1.0,77,434.123533
1.0,138,437.367441
1.0,79,437.535226
1.0,155,437.841092
1.0,143,438.074598
1.0,75,438.208547
1.0,135,438.464827
1.0,142,438.747589
1.0,79,438.872287
1.0,148,439.118143
1.0,139,439.39436
1.0,136,439.665694
1.0,76,439.791125
1.0,157,440.14423
1.0,78,440.333789
1.0,131,440.626081
1.0,79,440.804641
1.0,134,441.130823
1.0,149,444.394494
1.0,140,444.65337
1.0,79,444.821933
1.0,77,444.996907
1.0,150,445.404074
