# {"t_start": 1594067836.7778673, "env_id": "MountainCarSparse-v0"} 
r,l,t
0,999,3.937535
0,999,5.17621
0,999,14.861343
0,999,16.1998
0,999,45.015422
0,999,46.809953
0,999,76.264931
0,999,78.112731
0,999,112.734161
0,999,114.902638
1.0,874,151.988281
0,999,154.026022
0,999,191.585883
0,999,193.440647
1.0,599,229.536636
1.0,713,230.97568
0,999,233.001081
1.0,770,269.588758
1.0,978,271.435232
1.0,407,272.199627
1.0,418,308.070957
1.0,701,309.595127
1.0,478,310.735211
1.0,698,347.22381
1.0,543,348.285588
1.0,265,348.838897
1.0,267,349.293239
1.0,531,350.367515
1.0,371,385.853742
1.0,655,387.225745
1.0,601,388.538781
1.0,550,389.551564
1.0,258,424.650891
1.0,278,425.268557
1.0,524,426.257565
1.0,350,426.909032
1.0,324,427.623038
1.0,422,428.510164
1.0,236,464.080348
1.0,251,464.590914
1.0,257,465.191769
1.0,262,465.748516
1.0,393,466.523374
1.0,180,466.902421
1.0,314,467.497722
1.0,183,467.932873
1.0,291,502.899192
1.0,194,503.222044
1.0,347,503.924628
1.0,236,504.393467
1.0,372,505.230392
1.0,223,505.726089
1.0,321,506.41135
1.0,279,542.080627
1.0,219,542.525366
1.0,211,542.94483
1.0,283,543.604524
1.0,222,544.036999
1.0,253,544.516458
1.0,263,544.980044
1.0,319,545.699313
1.0,352,581.269108
1.0,284,581.843667
1.0,323,582.486719
1.0,407,583.33097
1.0,256,583.923809
1.0,256,584.457578
1.0,259,584.909842
1.0,221,621.117953
1.0,273,621.778242
1.0,329,622.535029
1.0,268,623.100157
1.0,322,623.745535
1.0,151,624.049763
1.0,273,624.588569
1.0,283,660.018753
1.0,218,660.460361
1.0,258,660.98552
1.0,226,661.46012
1.0,309,662.027641
1.0,286,662.551173
1.0,293,663.183369
1.0,241,663.694719
1.0,245,698.8541
1.0,266,699.383254
1.0,253,699.864058
1.0,220,700.34315
1.0,212,700.72316
1.0,148,701.035166
1.0,267,701.524792
1.0,219,702.006868
1.0,349,702.743977
1.0,271,738.650582
1.0,219,739.116139
1.0,280,739.665137
1.0,186,740.084652
1.0,301,740.640414
1.0,183,741.051901
1.0,234,741.48348
1.0,231,741.947273
1.0,328,777.567646
1.0,209,778.00127
1.0,324,778.700812
1.0,142,778.981328
1.0,259,779.449677
1.0,142,779.761388
1.0,241,780.257539
1.0,212,780.651554
1.0,215,781.015907
1.0,171,815.632663
1.0,174,815.948057
1.0,174,816.29847
1.0,277,816.84813
1.0,232,817.296337
1.0,178,817.696831
1.0,176,818.06081
1.0,183,818.479469
1.0,169,818.884034
1.0,141,819.191076
1.0,207,819.632047
1.0,217,855.386192
1.0,276,855.989308
1.0,213,856.369572
1.0,277,856.912727
1.0,256,857.45622
1.0,223,857.911891
1.0,213,858.322444
1.0,204,858.726444
1.0,241,859.160423
1.0,176,894.809909
1.0,244,895.329086
1.0,208,895.805069
1.0,173,896.171964
1.0,145,896.429833
1.0,164,896.743592
1.0,240,897.187746
1.0,216,897.606992
1.0,226,898.08785
1.0,182,898.480012
1.0,216,934.190857
1.0,167,934.534005
1.0,177,934.901388
1.0,135,935.117919
1.0,192,935.52614
1.0,165,935.859536
1.0,219,936.267186
1.0,206,936.669177
1.0,215,937.167141
1.0,142,937.403711
1.0,150,937.730515
1.0,228,966.431479
1.0,177,966.72823
1.0,174,967.020681
1.0,142,967.259947
1.0,173,967.552714
1.0,178,967.740907
1.0,143,967.918804
1.0,142,968.136902
1.0,163,968.408652
1.0,174,968.688402
1.0,142,968.875522
1.0,195,969.145553
1.0,187,969.451838
1.0,184,997.032469
1.0,171,997.183298
1.0,139,997.406033
1.0,172,997.707258
1.0,138,997.948216
1.0,170,998.220669
1.0,190,998.546646
1.0,145,998.786901
1.0,258,999.196257
1.0,264,999.684968
1.0,237,1026.952703
1.0,175,1027.150009
1.0,187,1027.471228
1.0,150,1027.716265
1.0,170,1028.002227
1.0,141,1028.23772
1.0,139,1028.483415
1.0,110,1028.612292
1.0,172,1028.780189
1.0,140,1028.95161
1.0,223,1029.314988
1.0,143,1029.558961
1.0,136,1029.792301
1.0,138,1030.017324
1.0,223,1058.003196
1.0,184,1058.289248
1.0,141,1058.429292
1.0,140,1058.617675
1.0,173,1058.852096
1.0,140,1059.067858
1.0,186,1059.403636
1.0,168,1059.676771
1.0,203,1060.026438
1.0,197,1060.345364
1.0,139,1060.581533
1.0,217,1088.494477
1.0,139,1088.731842
1.0,144,1088.972986
1.0,161,1089.24683
1.0,206,1089.591946
1.0,139,1089.825265
1.0,178,1090.125646
1.0,179,1090.424924
1.0,137,1090.64717
1.0,139,1090.876905
1.0,186,1091.191606
1.0,136,1091.413644
1.0,253,1119.727242
1.0,135,1119.960105
1.0,149,1120.206016
1.0,111,1120.445091
1.0,141,1120.585825
1.0,197,1120.907219
1.0,157,1121.149962
1.0,173,1121.305283
1.0,224,1121.622725
1.0,139,1121.859056
1.0,137,1122.052382
1.0,156,1122.181679
1.0,146,1122.357582
1.0,188,1150.18611
1.0,207,1150.533777
1.0,166,1150.69578
1.0,140,1150.822351
1.0,135,1151.034195
1.0,179,1151.333304
1.0,139,1151.565511
1.0,143,1151.80112
1.0,108,1151.987068
1.0,141,1152.227164
1.0,208,1152.573704
1.0,157,1152.835348
1.0,182,1153.148113
1.0,177,1180.906091
1.0,196,1181.249961
1.0,149,1181.50017
1.0,205,1181.850942
1.0,173,1182.141498
1.0,140,1182.37719
1.0,210,1182.73764
1.0,200,1183.084782
1.0,131,1183.315197
1.0,138,1183.543046
1.0,138,1183.782847
1.0,167,1184.054962
1.0,173,1211.99738
1.0,180,1212.300071
1.0,171,1212.587396
1.0,105,1212.759356
1.0,181,1213.083924
1.0,150,1213.305341
1.0,187,1213.577487
1.0,185,1213.878545
1.0,139,1214.125103
1.0,142,1214.35296
1.0,144,1214.594345
1.0,111,1214.784524
1.0,169,1215.077325
1.0,106,1215.254637
1.0,125,1242.977235
1.0,143,1243.177385
1.0,133,1243.361212
1.0,173,1243.652235
1.0,154,1243.909033
1.0,153,1244.182531
1.0,137,1244.404703
1.0,142,1244.65488
1.0,107,1244.828093
1.0,136,1245.061894
1.0,135,1245.301724
1.0,188,1245.623395
1.0,184,1245.93314
1.0,137,1246.159843
1.0,143,1273.354049
1.0,181,1273.662143
1.0,167,1273.946078
1.0,146,1274.180341
1.0,167,1274.465191
1.0,116,1274.6651
1.0,137,1274.894912
1.0,107,1275.073873
1.0,158,1275.337707
1.0,113,1275.54056
1.0,115,1275.72976
1.0,104,1275.909933
1.0,139,1276.147941
1.0,133,1276.36822
1.0,141,1276.602508
1.0,181,1305.107374
1.0,115,1305.288952
1.0,145,1305.53302
1.0,169,1305.819226
1.0,144,1306.06041
1.0,134,1306.289119
1.0,105,1306.493876
1.0,198,1306.875205
1.0,139,1307.106514
1.0,140,1307.343111
1.0,144,1307.593214
1.0,174,1307.909424
1.0,140,1308.142138
1.0,140,1308.387992
1.0,115,1336.485651
1.0,151,1336.743317
1.0,159,1337.00332
1.0,141,1337.23759
1.0,149,1337.485934
1.0,160,1337.756128
1.0,108,1337.933618
1.0,107,1338.116081
1.0,165,1338.406943
1.0,143,1338.636702
1.0,181,1338.943635
1.0,148,1339.198268
1.0,151,1339.45103
1.0,144,1339.693738
1.0,148,1367.953187
1.0,144,1368.19381
1.0,151,1368.440201
1.0,147,1368.679049
1.0,140,1368.917116
1.0,140,1369.166176
1.0,133,1369.394197
1.0,108,1369.569444
1.0,137,1369.809146
1.0,147,1370.052763
1.0,151,1370.308995
1.0,111,1370.484505
1.0,138,1370.715882
1.0,142,1370.966703
1.0,111,1371.141832
1.0,143,1399.310749
1.0,151,1399.564367
1.0,144,1399.800878
1.0,151,1400.058202
1.0,143,1400.298728
1.0,134,1400.520452
1.0,136,1400.756027
1.0,142,1400.93507
1.0,138,1401.160403
1.0,110,1401.352911
1.0,148,1401.60541
1.0,149,1401.859391
1.0,110,1402.035012
1.0,179,1402.341715
1.0,142,1430.175865
1.0,155,1430.437007
1.0,153,1430.688488
1.0,147,1430.931898
1.0,142,1431.176296
1.0,137,1431.408746
1.0,135,1431.643282
1.0,143,1431.880706
1.0,145,1432.123205
1.0,112,1432.313497
1.0,133,1432.543386
1.0,111,1432.723517
1.0,140,1433.013115
1.0,76,1433.136545
1.0,154,1433.397139
1.0,146,1461.237794
1.0,146,1461.488793
1.0,149,1461.742241
1.0,75,1461.856874
1.0,108,1462.047304
1.0,144,1462.288039
1.0,76,1462.419226
1.0,146,1462.664312
1.0,110,1462.855543
1.0,77,1462.987664
1.0,144,1463.230531
1.0,115,1463.429277
1.0,110,1463.609028
1.0,144,1463.858857
1.0,137,1464.085774
1.0,110,1464.278907
1.0,140,1464.527102
1.0,134,1492.317808
1.0,141,1492.552659
1.0,143,1492.792593
1.0,134,1493.016988
1.0,116,1493.208226
1.0,116,1493.32733
1.0,116,1493.423819
1.0,113,1493.581635
1.0,136,1493.804289
1.0,105,1493.983169
1.0,76,1494.115717
1.0,142,1494.358946
1.0,137,1494.588722
1.0,139,1494.820896
1.0,75,1494.951502
1.0,76,1495.075634
1.0,113,1495.279107
1.0,74,1495.405545
1.0,136,1522.946076
1.0,157,1523.080752
1.0,145,1523.318758
1.0,77,1523.447443
1.0,108,1523.634301
1.0,80,1523.770488
1.0,105,1523.940479
1.0,139,1524.175754
1.0,142,1524.400295
1.0,153,1524.659456
1.0,146,1524.89783
1.0,146,1525.147968
1.0,152,1525.407379
1.0,155,1525.661098
1.0,153,1525.917175
1.0,154,1553.406278
1.0,78,1553.539502
1.0,75,1553.678477
1.0,140,1553.904113
1.0,112,1554.08615
1.0,135,1554.313939
1.0,81,1554.453851
1.0,147,1554.692498
1.0,136,1554.922752
1.0,151,1555.172865
1.0,135,1555.407102
1.0,107,1555.576905
1.0,145,1555.831852
1.0,142,1556.045816
1.0,78,1556.173248
1.0,75,1556.305247
1.0,142,1556.548094
1.0,78,1556.61219
1.0,118,1584.371021
1.0,134,1584.602597
1.0,81,1584.728607
1.0,76,1584.8546
1.0,82,1584.993948
1.0,126,1585.212332
1.0,141,1585.448488
1.0,136,1585.668318
1.0,140,1585.907979
1.0,152,1586.141225
1.0,114,1586.34376
1.0,76,1586.462177
1.0,74,1586.58277
1.0,147,1586.821185
1.0,74,1586.954059
1.0,152,1587.209076
1.0,77,1587.332186
1.0,142,1587.571485
1.0,149,1615.135294
1.0,102,1615.291879
1.0,131,1615.572016
1.0,144,1615.808268
1.0,117,1615.999751
1.0,107,1616.182419
1.0,75,1616.303044
1.0,73,1616.423372
1.0,76,1616.556418
1.0,75,1616.677476
1.0,79,1616.814997
1.0,139,1617.040788
1.0,75,1617.169633
1.0,78,1617.291069
1.0,76,1617.413875
1.0,142,1617.660632
1.0,75,1617.786473
1.0,74,1617.907919
1.0,75,1618.02951
1.0,151,1618.288753
1.0,77,1618.412837
1.0,74,1646.374501
1.0,145,1646.615254
1.0,108,1646.797211
1.0,144,1647.036908
1.0,74,1647.158064
1.0,75,1647.2795
1.0,75,1647.401558
1.0,74,1647.534841
1.0,78,1647.611315
1.0,106,1647.69706
1.0,72,1647.779928
1.0,76,1647.903438
1.0,153,1648.05369
1.0,141,1648.217751
1.0,78,1648.341949
1.0,73,1648.474902
1.0,86,1648.601855
1.0,144,1648.842301
1.0,141,1649.078957
1.0,143,1649.317529
1.0,157,1677.899985
1.0,116,1678.092417
1.0,74,1678.219878
1.0,149,1678.459038
1.0,154,1678.723134
1.0,144,1678.962633
1.0,74,1679.083698
1.0,77,1679.211704
1.0,77,1679.335198
1.0,77,1679.458898
1.0,76,1679.591108
1.0,74,1679.715929
1.0,153,1679.967708
1.0,154,1680.181012
1.0,111,1680.272094
1.0,145,1680.436907
1.0,108,1680.598626
1.0,156,1708.577203
1.0,80,1708.720908
1.0,80,1708.861288
1.0,149,1709.105128
1.0,75,1709.236484
1.0,109,1709.41189
1.0,103,1709.581775
1.0,81,1709.725905
1.0,104,1709.896593
1.0,118,1710.092649
1.0,76,1710.230774
1.0,78,1710.357536
1.0,156,1710.654188
1.0,74,1710.775379
1.0,75,1710.905856
1.0,146,1711.143634
1.0,159,1711.41811
1.0,76,1711.541747
1.0,143,1711.78564
1.0,113,1711.903147
1.0,74,1739.861024
1.0,78,1740.005308
1.0,78,1740.126927
1.0,76,1740.248897
1.0,155,1740.508106
1.0,155,1740.76388
1.0,84,1740.901566
1.0,82,1741.041523
1.0,74,1741.170408
1.0,146,1741.411835
1.0,153,1741.667759
1.0,111,1741.856512
1.0,76,1741.983783
1.0,149,1742.233421
1.0,84,1742.352149
1.0,73,1742.468581
1.0,76,1742.598856
1.0,77,1742.73164
1.0,79,1742.871603
1.0,74,1742.989869
1.0,141,1771.160512
1.0,132,1771.383863
1.0,78,1771.508723
1.0,76,1771.648366
1.0,108,1771.831464
1.0,76,1771.954728
1.0,75,1772.077068
1.0,80,1772.210737
1.0,75,1772.333115
1.0,75,1772.465037
1.0,155,1772.725902
1.0,76,1772.849453
1.0,78,1772.983037
1.0,78,1773.108034
1.0,146,1773.363608
1.0,160,1773.634882
1.0,114,1773.831281
1.0,75,1773.941734
1.0,153,1774.214757
1.0,81,1774.342737
1.0,81,1774.478423
1.0,112,1802.757725
1.0,80,1802.896108
1.0,77,1803.007443
1.0,151,1803.264714
1.0,75,1803.399005
1.0,165,1803.65686
1.0,146,1803.9031
1.0,113,1804.096471
1.0,82,1804.230262
1.0,76,1804.364512
1.0,115,1804.556966
1.0,77,1804.688921
1.0,90,1804.828827
1.0,110,1805.016531
1.0,110,1805.20163
1.0,75,1805.324086
1.0,74,1805.444825
1.0,154,1805.70294
1.0,77,1805.788616
1.0,76,1805.85009
1.0,78,1805.925508
1.0,75,1833.688201
1.0,75,1833.814008
1.0,75,1833.936312
1.0,75,1834.070553
1.0,76,1834.187148
1.0,105,1834.356229
1.0,76,1834.491112
1.0,75,1834.615174
1.0,76,1834.748969
1.0,82,1834.876665
1.0,79,1835.002393
1.0,108,1835.195944
1.0,121,1835.390285
1.0,76,1835.509921
1.0,77,1835.641733
1.0,162,1835.919407
1.0,75,1836.039399
1.0,110,1836.224963
1.0,75,1836.345542
1.0,81,1836.485347
1.0,159,1836.746965
1.0,100,1836.914685
1.0,76,1864.646779
1.0,78,1864.767872
1.0,76,1864.900193
1.0,80,1865.026328
1.0,75,1865.160198
1.0,77,1865.286273
1.0,83,1865.427366
1.0,92,1865.571413
1.0,122,1865.785823
1.0,76,1865.909437
1.0,74,1866.031477
1.0,84,1866.179605
1.0,77,1866.305033
1.0,114,1866.501165
