# {"t_start": 1594066837.1250358, "env_id": "MountainCarSparse-v0"} 
r,l,t
1.0,733,1.976832
0,999,2.761145
1.0,824,4.571666
1.0,632,5.058885
0,999,6.912964
1.0,622,7.39656
1.0,870,8.068143
1.0,484,9.521373
1.0,543,9.942837
1.0,394,10.251461
1.0,304,10.488844
1.0,588,10.946829
1.0,431,12.369341
1.0,376,12.663647
1.0,236,12.849748
1.0,383,13.148318
1.0,238,13.333819
1.0,436,13.67223
1.0,647,15.258607
1.0,254,15.45856
1.0,220,15.629917
1.0,293,15.857201
1.0,193,16.008325
1.0,467,16.369846
1.0,328,17.707948
1.0,293,17.936806
1.0,220,18.110963
1.0,220,18.283377
1.0,197,18.436976
1.0,311,18.679255
1.0,301,18.913246
1.0,230,19.089072
1.0,256,20.375614
1.0,313,20.618017
1.0,331,20.877927
1.0,229,21.055625
1.0,232,21.235152
1.0,181,21.377778
1.0,225,21.553417
1.0,300,21.781759
1.0,217,23.034669
1.0,260,23.236701
1.0,195,23.388888
1.0,204,23.550044
1.0,224,23.725685
1.0,174,23.862158
1.0,156,23.984025
1.0,237,24.169249
1.0,223,24.342315
1.0,248,25.608063
1.0,189,25.755615
1.0,155,25.875977
1.0,159,25.999176
1.0,280,26.220763
1.0,270,26.43288
1.0,208,26.594812
1.0,152,26.713488
1.0,229,26.892317
1.0,323,27.139705
1.0,219,28.390678
1.0,231,28.570162
1.0,237,28.756284
1.0,249,28.954597
1.0,225,29.131618
1.0,291,29.358796
1.0,219,29.528617
1.0,190,29.675883
1.0,177,29.809763
1.0,207,31.047614
1.0,241,31.236204
1.0,200,31.393545
1.0,215,31.563734
1.0,148,31.680739
1.0,236,31.865372
1.0,211,32.030992
1.0,222,32.205213
1.0,235,32.388784
1.0,235,33.666231
1.0,155,33.786637
1.0,153,33.905305
1.0,220,34.076853
1.0,146,34.191869
1.0,232,34.374027
1.0,204,34.53195
1.0,141,34.640893
1.0,159,34.764091
1.0,156,34.884832
1.0,190,35.0311
1.0,146,35.141419
1.0,284,36.439782
1.0,212,36.604969
1.0,138,36.712
1.0,184,36.857111
1.0,219,37.031255
1.0,148,37.148762
1.0,266,37.356519
1.0,187,37.502605
1.0,258,37.703274
1.0,186,37.844156
1.0,146,39.030799
1.0,224,39.206187
1.0,147,39.320888
1.0,230,39.501942
1.0,276,39.72244
1.0,268,39.932424
1.0,180,40.073068
1.0,174,40.208649
1.0,157,40.331485
1.0,275,40.541336
1.0,211,41.786122
1.0,216,41.953693
1.0,196,42.106765
1.0,201,42.266329
1.0,191,42.417346
1.0,169,42.550193
1.0,153,42.669133
1.0,143,42.780802
1.0,198,42.934795
1.0,228,43.110531
1.0,147,43.221464
1.0,214,44.469968
1.0,138,44.578087
1.0,151,44.695701
1.0,209,44.860958
1.0,149,44.978625
1.0,187,45.126551
1.0,139,45.235309
1.0,138,45.342904
1.0,141,45.452727
1.0,148,45.567947
1.0,145,45.680872
1.0,142,45.789487
1.0,242,47.057655
1.0,148,47.17331
1.0,150,47.290428
1.0,199,47.446433
1.0,144,47.560729
1.0,196,47.715753
1.0,246,47.910044
1.0,203,48.069187
1.0,230,48.249492
1.0,146,48.363765
1.0,224,48.534652
1.0,136,49.722374
1.0,173,49.856786
1.0,154,49.97634
1.0,169,50.108965
1.0,191,50.259169
1.0,146,50.373971
1.0,233,50.557887
1.0,146,50.672315
1.0,242,50.860303
1.0,143,50.971389
1.0,184,51.112638
1.0,184,51.252267
1.0,191,52.478029
1.0,142,52.588164
1.0,123,52.683328
1.0,161,52.810601
1.0,144,52.924536
1.0,137,53.033282
1.0,147,53.150313
1.0,182,53.294875
1.0,180,53.434281
1.0,141,53.543505
1.0,182,53.684741
1.0,160,53.80643
1.0,178,53.940899
1.0,146,55.130199
1.0,183,55.272477
1.0,200,55.428085
1.0,114,55.518635
1.0,198,55.675243
1.0,140,55.784856
1.0,147,55.90081
1.0,146,56.015921
1.0,180,56.156072
1.0,151,56.273548
1.0,207,56.433601
1.0,183,56.571837
1.0,160,57.773744
1.0,170,57.90616
1.0,137,58.012252
1.0,107,58.095608
1.0,145,58.210922
1.0,149,58.327924
1.0,143,58.439981
1.0,157,58.562782
1.0,148,58.678424
1.0,154,58.798281
1.0,114,58.887233
1.0,115,58.976528
1.0,132,59.079395
1.0,136,59.18257
1.0,179,60.390527
1.0,113,60.477712
1.0,149,60.593271
1.0,169,60.723928
1.0,148,60.840069
1.0,165,60.969848
1.0,143,61.08237
1.0,138,61.190596
1.0,139,61.300542
1.0,176,61.438732
1.0,182,61.579728
1.0,137,61.686246
1.0,110,61.771417
1.0,110,61.85473
1.0,137,61.958058
1.0,134,63.136473
1.0,179,63.275634
1.0,190,63.422637
1.0,119,63.516639
1.0,111,63.60456
1.0,137,63.712623
1.0,81,63.776477
1.0,149,63.894599
1.0,169,64.028021
1.0,150,64.146213
1.0,139,64.253979
1.0,150,64.370589
1.0,154,64.490009
1.0,131,64.589184
1.0,202,65.82357
1.0,191,65.972761
1.0,152,66.091432
1.0,146,66.206086
1.0,158,66.332181
1.0,137,66.441298
1.0,138,66.551306
1.0,192,66.704807
1.0,136,66.812577
1.0,142,66.924135
1.0,150,67.041166
1.0,144,67.153634
1.0,180,67.291067
1.0,107,68.458417
1.0,142,68.56717
1.0,87,68.634925
1.0,145,68.748362
1.0,119,68.841774
1.0,130,68.945746
1.0,81,69.010218
1.0,137,69.118928
1.0,144,69.232569
1.0,82,69.297496
1.0,151,69.417338
1.0,147,69.533836
1.0,153,69.653807
1.0,110,69.740258
1.0,151,69.858044
1.0,81,69.919981
1.0,143,71.113841
1.0,137,71.218264
1.0,163,71.345458
1.0,139,71.453672
1.0,139,71.563193
1.0,139,71.674509
1.0,106,71.758738
1.0,162,71.8889
1.0,142,72.002484
1.0,78,72.064708
1.0,150,72.18584
1.0,142,72.299312
1.0,184,72.443276
1.0,113,72.531213
1.0,139,72.636943
1.0,79,72.696902
1.0,118,73.871454
1.0,148,73.985279
1.0,140,74.094675
1.0,110,74.180257
1.0,122,74.276735
1.0,113,74.365928
