# {"t_start": 1593282274.7131116, "env_id": "MountainCar-v0"} 
r,l,t
-200.0,200,1.609652
-200.0,200,1.778079
-200.0,200,1.949138
-200.0,200,2.116833
-200.0,200,2.284468
-200.0,200,2.45806
-200.0,200,2.63251
-200.0,200,2.801989
-200.0,200,2.968564
-200.0,200,3.135428
-200.0,200,4.613204
-200.0,200,4.80876
-200.0,200,5.004835
-200.0,200,5.202202
-200.0,200,5.370003
-200.0,200,5.537905
-200.0,200,5.708242
-200.0,200,5.881746
-200.0,200,6.050438
-200.0,200,6.223124
-200.0,200,7.45738
-200.0,200,7.627572
-200.0,200,7.800189
-200.0,200,7.967359
-200.0,200,8.136017
-200.0,200,8.323789
-200.0,200,8.530903
-200.0,200,8.703889
-200.0,200,8.871979
-200.0,200,9.044851
-200.0,200,10.272079
-200.0,200,10.443981
-200.0,200,10.611565
-200.0,200,10.777649
-200.0,200,10.944735
-200.0,200,11.110913
-200.0,200,11.276892
-200.0,200,11.443001
-200.0,200,11.609406
-200.0,200,11.776836
-200.0,200,13.031809
-200.0,200,13.204657
-200.0,200,13.372801
-200.0,200,13.543458
-200.0,200,13.71032
-200.0,200,13.877275
-200.0,200,14.043808
-200.0,200,14.210036
-200.0,200,14.376833
-200.0,200,14.542953
-200.0,200,14.709574
-200.0,200,15.93266
-200.0,200,16.100948
-200.0,200,16.275069
-200.0,200,16.44703
-200.0,200,16.617071
-200.0,200,16.787655
-200.0,200,16.958998
-200.0,200,17.130456
-200.0,200,17.298984
-200.0,200,17.46858
-200.0,200,18.712757
-200.0,200,18.880598
-200.0,200,19.048147
-200.0,200,19.216692
-200.0,200,19.385673
-200.0,200,19.553617
-200.0,200,19.721149
-200.0,200,19.888541
-200.0,200,20.056662
-200.0,200,20.238412
-200.0,200,22.305991
-200.0,200,22.574234
-200.0,200,22.970773
-193.0,193,23.314282
-200.0,200,23.529226
-200.0,200,23.698155
-200.0,200,23.935196
-200.0,200,24.265909
-200.0,200,24.570294
-200.0,200,24.804436
-200.0,200,26.983116
-200.0,200,27.181716
-200.0,200,27.38214
-165.0,165,27.582554
-200.0,200,27.82446
-200.0,200,28.021629
-200.0,200,28.193938
-200.0,200,28.395089
-200.0,200,28.625618
-200.0,200,28.821654
-197.0,197,28.990598
-197.0,197,30.878221
-200.0,200,31.07953
-184.0,184,31.264929
-153.0,153,31.416016
-187.0,187,31.647247
-200.0,200,31.82506
-199.0,199,32.000266
-190.0,190,32.170506
-195.0,195,32.346979
-200.0,200,32.561038
-200.0,200,32.738926
-164.0,164,34.272336
-181.0,181,34.455943
-200.0,200,34.636463
-175.0,175,34.807215
-192.0,192,35.058601
-200.0,200,35.236089
-155.0,155,35.39182
-200.0,200,35.60531
-170.0,170,35.74912
-173.0,173,35.900789
-153.0,153,36.037987
-199.0,199,37.672755
-155.0,155,37.835674
-190.0,190,38.031002
-200.0,200,38.23966
-154.0,154,38.472545
-159.0,159,38.630272
-183.0,183,38.79447
-167.0,167,38.945449
-162.0,162,39.21306
-194.0,194,39.427624
-162.0,162,39.699922
-153.0,153,39.950564
-200.0,200,42.466334
-200.0,200,42.829805
-194.0,194,43.229264
-200.0,200,43.515493
-113.0,113,43.702417
-121.0,121,43.866923
-187.0,187,44.154848
-131.0,131,44.342596
-119.0,119,44.537766
-154.0,154,44.800461
-200.0,200,45.152689
-143.0,143,45.312582
-187.0,187,47.330104
-162.0,162,47.615611
-151.0,151,47.785715
-157.0,157,47.982073
-143.0,143,48.103723
-128.0,128,48.212864
-199.0,199,48.424819
-124.0,124,48.6292
-142.0,142,48.8575
-160.0,160,49.135317
-157.0,157,49.2817
-158.0,158,49.416461
-145.0,145,49.625993
-140.0,140,49.745335
-126.0,126,51.89145
-198.0,198,52.059567
-189.0,189,52.219882
-148.0,148,52.34802
-147.0,147,52.577013
-161.0,161,52.823888
-151.0,151,53.056153
-196.0,196,53.303356
-128.0,128,53.519551
-162.0,162,53.787428
-200.0,200,54.029482
-155.0,155,54.162222
-132.0,132,54.373794
-151.0,151,56.452873
-146.0,146,56.655083
-150.0,150,56.8336
-160.0,160,56.994867
-124.0,124,57.206762
-130.0,130,57.334541
-126.0,126,57.443382
-167.0,167,57.585084
-144.0,144,57.707388
-153.0,153,57.911423
-144.0,144,58.043529
-158.0,158,58.189725
-154.0,154,58.332966
-151.0,151,58.470592
-190.0,190,60.749009
-148.0,148,60.972652
-158.0,158,61.12887
-119.0,119,61.331805
-118.0,118,61.539554
-200.0,200,61.845387
-162.0,162,62.105538
-176.0,176,62.320234
-129.0,129,62.503129
-143.0,143,62.6854
-148.0,148,62.88799
-154.0,154,63.146175
-200.0,200,63.33153
-154.0,154,65.629789
-128.0,128,65.779356
-120.0,120,65.886458
-152.0,152,66.020649
-132.0,132,66.137818
-126.0,126,66.253718
-177.0,177,66.469741
-175.0,175,66.661659
-125.0,125,66.872382
-157.0,157,67.120838
-154.0,154,67.305312
-145.0,145,67.542946
-118.0,118,67.741313
-152.0,152,67.877145
-90.0,90,69.592556
-159.0,159,69.788357
-118.0,118,69.967918
-153.0,153,70.127489
-140.0,140,70.332414
-182.0,182,70.629836
-121.0,121,70.818083
-162.0,162,70.967661
-161.0,161,71.251602
-183.0,183,71.453916
-176.0,176,71.647853
-174.0,174,71.940941
-156.0,156,72.208637
-149.0,149,74.340247
-175.0,175,74.647002
-140.0,140,74.885586
-158.0,158,75.154206
-167.0,167,75.448339
-153.0,153,75.708674
-159.0,159,76.004426
-141.0,141,76.247066
-159.0,159,76.500822
-119.0,119,76.71694
-119.0,119,76.834476
-111.0,111,76.945499
-116.0,116,77.107926
-154.0,154,77.238652
-128.0,128,77.359837
-158.0,158,79.690582
-108.0,108,79.782832
-158.0,158,79.917429
-155.0,155,80.06196
-146.0,146,80.186488
-156.0,156,80.368877
-165.0,165,80.661584
-189.0,189,80.969464
-145.0,145,81.220357
-142.0,142,81.401248
-133.0,133,81.53234
-162.0,162,81.707669
-173.0,173,81.917359
-137.0,137,83.780719
-152.0,152,83.915884
-144.0,144,84.045348
-165.0,165,84.197448
-154.0,154,84.334819
-149.0,149,84.536907
-154.0,154,84.734016
-155.0,155,84.978813
-148.0,148,85.227641
-152.0,152,85.483292
-159.0,159,85.748778
-182.0,182,85.948915
-117.0,117,86.065271
-159.0,159,87.98465
-111.0,111,88.206277
-97.0,97,88.313856
-152.0,152,88.467752
-155.0,155,88.725503
-151.0,151,88.8657
-147.0,147,89.063829
-156.0,156,89.195841
-91.0,91,89.3095
-152.0,152,89.489491
-88.0,88,89.573625
-124.0,124,89.683617
-124.0,124,89.825856
-146.0,146,89.992331
-85.0,85,90.063838
-153.0,153,90.191586
-119.0,119,92.167025
-165.0,165,92.465971
-89.0,89,92.609816
-145.0,145,92.855901
-124.0,124,93.020211
-161.0,161,93.169858
-118.0,118,93.276252
-162.0,162,93.41942
-84.0,84,93.513443
-119.0,119,93.716737
-157.0,157,93.924118
-153.0,153,94.054019
-148.0,148,94.179717
-116.0,116,94.288873
-155.0,155,94.535717
-89.0,89,94.680562
-150.0,150,96.655222
-115.0,115,96.86712
-160.0,160,97.02673
-116.0,116,97.197655
-159.0,159,97.330395
-103.0,103,97.417418
-85.0,85,97.525025
-91.0,91,97.669859
-87.0,87,97.778795
-152.0,152,97.935482
-117.0,117,98.057167
-159.0,159,98.223057
-155.0,155,98.354361
-84.0,84,98.425573
-119.0,119,98.526394
-110.0,110,98.630295
-119.0,119,98.824768
-87.0,87,100.713344
-122.0,122,100.825572
-167.0,167,100.97589
-163.0,163,101.228176
-85.0,85,101.38075
-161.0,161,101.602796
-113.0,113,101.703038
-132.0,132,101.85567
-149.0,149,102.016563
-147.0,147,102.139467
-120.0,120,102.306775
-120.0,120,102.423106
-124.0,124,102.5389
-151.0,151,102.678547
-88.0,88,102.761521
-110.0,110,102.921906
-167.0,167,105.107317
-182.0,182,105.331324
-152.0,152,105.587583
-159.0,159,105.815694
-150.0,150,105.991237
-118.0,118,106.10006
-166.0,166,106.255966
-134.0,134,106.377201
-88.0,88,106.457065
-112.0,112,106.590379
-118.0,118,106.785389
-141.0,141,107.026459
-86.0,86,107.173251
-124.0,124,107.368789
-90.0,90,107.531794
-87.0,87,109.141534
-88.0,88,109.269993
-119.0,119,109.383579
-149.0,149,109.54246
-157.0,157,109.822744
-115.0,115,110.016964
-114.0,114,110.210931
-86.0,86,110.353834
-161.0,161,110.600402
-119.0,119,110.762365
-110.0,110,110.855566
-118.0,118,111.028586
-116.0,116,111.183151
-163.0,163,111.370155
-85.0,85,111.471326
-118.0,118,111.662577
-145.0,145,111.899481
-116.0,116,114.303458
-88.0,88,114.463639
-97.0,97,114.635957
-87.0,87,114.779165
-157.0,157,115.01406
-114.0,114,115.147302
-164.0,164,115.40015
-88.0,88,115.499311
-158.0,158,115.755514
-121.0,121,115.857496
-86.0,86,115.932408
-90.0,90,116.035071
-162.0,162,116.173009
-165.0,165,116.313429
-157.0,157,116.513673
-116.0,116,116.716182
